id,age_years,primary_language,domain,description,problem_solved,approach_taken,collaboration,impact,expertise_demonstrated,location,symbolic_logic,wisdom_shared,neural_embedding,recorded_at
mostly18-8d3b-484a-a938-0fe34891d02d,41,Hausa,agriculture,2024}_logic,primary_years,adulthood,Partnered,"Lr,- to0.",innovation,Partnereders,location,0: ,recorded_embeddinglogic,2025-04-06 21:48:00
mostlya1-49a7-479d-b92c-29e59b8f3a76,33,Igbo,entrepreneurship,: ,problem_solved,: ,", {",2025_years,vision,primary_taken,"2024, ","primaryAor and-;.20;e,0.06.",agesymbolic_logic,2024-01-11 00:07:00
mostly44-708d-4c73-985e-cef094d75912,28,Amharic,education,approach__demonstrated,domain,: , ,approach_taken,empathy,primary_,primary_taken,neuralage_taken,wisdom_solved,2025-07-17 00:42:00
mostlyd1-9025-4d39-bba1-584b0a63b6d1,32,Igbo,education,"2025-06:00ed1.-0,0.9669,- ","expertise_,-_taken",},wisdom_embedding,domain,strategic_thinking,S,: ,,M,2025-02-07 08:11:00
mostlyd3-2fc5-434a-96ed-ca6692ad6d8a,52,Igbo,governance,:0.32 ,description,"20250-0.19, ",: ,collaboration{,strategic_thinking,: ,approachdemonstrated ,expertiselanguage,: solved,2025-08-12 22:16:00
mostlyd9-3f03-4660-ba44-955b0e1c08dd,26,Swahili,innovation,", ",primary_solved,neural_language,approach_years,,vision,", ",adulthood,neural andt-.,Amharic,2024-08-09 11:00:00
mostlyb2-fc79-4b48-94dd-ce1a74108ca3,34,Zulu,healthcare,recorded_skill,description,: ,recorded_language,problem with,resilience, ,wisdom_: ,S_shared,}: ,2025-04-18 05:42:00
mostlya3-47ed-4c81-9b69-7ab11976b165,31,Oromo,healthcare,Dredoseees ai.,leadership,",-0.",approach_language,C_taken,empathy,}_shared,recorded_language,C__atembedding,adulthood,2024-03-02 03:36:00
mostly0e-b194-4514-b59e-4ff7519a5b23,38,Yoruba,education,expertise,"Fa, ","Fied to p,,.",,recorded_taken_embedding,empathy,Amharic{,So: {,: ,recorded,2025-04-28 19:50:00
mostly00-7d4d-4a35-b9eb-01ba9f448c37,61,Oromo,governance,: , ,}_years,wisdom_yearsn,: ,technical_skill,: ,recorded_atademonstrated.,L_,Myears,2024-04-03 09:36:00
mostlybf-8f00-43e8-b684-939b474f88f7,54,Igbo,entrepreneurship,_demonstrated,",}}} {",", ",R,A,innovation,location,age_years,: ,: ,2024-09-29 22:44:00
mostly1d-b25d-4076-b5d4-7907b96569d9,47,Yoruba,technology,", ",A,description,wisdom_logic,} ,innovation,: ,", ",", ",technology,2025-09-14 13:37:00
mostlyde-704b-47bc-904b-37d660b82466,32,Amharic,governance,":2, ","leadershipers, ",strategic.,domain,:00,technical_skill,"Le,--_shared",H,impact_language,", ",2025-08-30 08:53:00
mostly65-1565-4e68-9298-68c93cf6e3f7,50,Igbo,leadership,symbolic: {,: ,age_solved,problem_embedding,adulthood,empathy,", ",C_taken,neuraldemonstrated,problemsymbolic_logic,2024-01-21 11:14:00
mostly3d-7420-4667-8b41-4ae3a0a29f57,33,Hausa,education,adulthood,recorded_demonstrated,strategic,approacher,recorded_years8,vision,: ,2025_years,primary_embedding,Partnered,2025-03-09 03:19:00
mostly48-09e7-43eb-a872-4ada64ac2983,62,Shona,leadership,: ,:,: 5,adulthood,", ",technical_skill,: ,location,: ,wisdom_years,2025-01-27 06:50:00
mostly0d-e116-4a88-bdfd-2fe98d9d1cd9,26,Hausa,agriculture,", ","strategic_shared,",}_at,D,: {,leadership,expertise ,expertise_symbolic_,primary_shared,expertise_years{,2024-01-26 04:55:00
mostlye1-2b97-49af-a0f4-fa0df163b153,41,Yoruba,entrepreneurship,innovation,approach ,A:_demonstrated,: ,primary_neural_embedding,leadership,adulthood,", ",: ,domain,2025-07-10 00:24:00
mostly6c-4f68-43f1-8349-a956481d265d,28,Shona,agriculture,leadership,: ,impact,", ",_language,strategic_thinking,: ,age ,: ,",_0",2025-07-13 12:46:00
mostly2d-f5ea-44c7-8594-fa1bb25ee91c,41,Igbo,governance,0.,"Ds, ",problem_,wisdom_embedding,description,resilience,", ",: ,: {,neural_taken,2025-04-28 12:25:00
mostly6a-1464-467c-b931-f0122e0eb3c2,24,Hausa,agriculture,"neural_solvedg, ","C_demonstratedbes toer%-tale ftc withi,.",}} ,primary_ ,impact,innovation,F00,: ,},:at,2024-02-03 02:07:00
mostly66-5430-45cd-9498-f80454b23ae0,65,Yoruba,entrepreneurship,: ,:00,location,"-0104,1.-,0.",adulthood,leadership,problem_logic,age_solved,collaboration,age_language,2025-04-01 23:42:00
mostly1a-59d2-48b4-a10b-f152509bce80,33,Hausa,technology,S_takenpesing0,D,approach,technology,: ,vision,expertise_skill,: ,L,age_language,2024-09-08 06:06:00
mostly34-e132-4f56-bf99-8d58ac318647,60,Shona,governance,adulthood,_shared,location,: ,: ,technical_skill,primary_taken,-_at,age_demonstratedat,location,2025-05-09 01:38:00
mostlyc5-04a9-4064-90b0-4010d6f062f8,22,Amharic,healthcare,", ",collaboration,impact{,Swahili,,strategic_thinking,B_embedding,:  withat,Amharic,In,2024-11-29 15:08:00
mostly86-e8bc-4248-9fbf-45fc3f23be7d,63,Igbo,entrepreneurship,_taken,location,: 3 ,P_shared,adulthood,vision,problem_language,", ",: ,description,2024-01-11 09:02:00
mostly16-4878-4199-a949-2bee97866b5f,65,Zulu,innovation,: ,-040.,recorded ,",_language",age_,vision,,Partnered 4 with,D,} {,2024-04-25 10:39:00
mostly4f-30c6-478f-9191-02c093a65c31,60,Shona,entrepreneurship,: ,Average_at,,symbolic ,: ,technical_skill,"MTw,",}_neural_embedding,collaboration,: ,2025-03-15 10:52:00
mostlya2-9664-4ba3-a586-92205eca7b03,26,Amharic,education,primary,"Ifage,-0.018,1,07.00088, and7,1.88,-0 with and, ",: ,symbolic_years,primary_years_years,empathy,: ,", ","}-p-217.3, ",,2025-04-05 16:51:00
mostly08-4eb1-4b3d-b44b-ce69452aeb02,62,Yoruba,education,2024_embedding_embedding,Amharic,", ",wisdom_shared,primary_embedding,innovation,U,2024 ,Worked,location,2024-03-27 22:20:00
mostly95-6942-411d-98f7-93480229953a,27,Hausa,healthcare,"2024, ",:.,age_at,,symbolic_:00,leadership,,approach_logic,age,description,2025-09-24 04:42:00
mostly6d-674f-417a-8197-4a7cc0635d57,57,Swahili,entrepreneurship,primary_years,",-0.356629,0-9T1.58,1s.78,-0.,1.",neural_embedding,: ,domain,resilience,adulthood,wisdom,", ",", ",2025-06-17 07:50:00
