id,age_years,primary_language,activity_type,description,lesson_learned,social_context,proverb_or_wisdom,emotional_development,location,symbolic_logic,developmental_milestone,neural_embedding,recorded_at
mostly6a-a50c-43e6-a13d-523c22c9ad91,6,Shona,learning,developmental0.08818 ,age_years,: ,emotional_development,respect,If,description,T-,location,2024-12-22 12:19:00
mostly00-0ab4-4a9c-939d-9c7daf5c875c,5,Hausa,social,developmental__or_language,R ,: ,activity_embedding,cooperation,learning,activity,} ,developmental_milestone,2025-01-16 00:19:00
mostly49-bab5-4557-9c1a-31a1f5278218,10,Swahili,social,"N,- ","2024-0.2528,-1.4,1.3-0.2619,-0.048-01,-.40.1939,-0.",Ban,} ,cooperation,}} {,-_context,Swahili,"learningerssk, ",2025-09-28 19:43:00
mostlyc4-3d03-45a3-b81b-cf4b693ce0ed,9,Igbo,physical,If,} ,"P.3,0.18715,- then.03 ",: ,curiosity,", ",Ciinge h tal;al,social_at,neural_context,2025-09-03 09:47:00
mostly2e-6282-4777-bc81-9da0d91dab42,6,Hausa,learning,", ",", {",developmental_learned,"Iforts scar)o).an5 witha,-0.456 ",creativity,social_context,Sn the,location,,2025-08-09 04:07:00
mostly24-3602-4f7d-9ab9-bcf72f30b9f3,10,Amharic,creative,,symbolic_development,", ",description,confidence,neural_2024.,: ,neural,B_or_language,2025-08-17 03:14:00
mostly7d-ca5d-4b97-919d-63f60e2e2fa7,7,Amharic,cultural,{,respect ,age_learned,proverbaingaks,respect,If you,"neural.77.,0.6,0.4136,-0.0264,-0.36,687,0.7", ,Amharice,2024-08-26 10:06:00
mostlyb7-d9c1-42a4-9cb0-9f07ed56c7eb,7,Swahili,cultural,_type,M,symbolic,: ,respect,social_at,description,childhood_development,: ,2024-05-13 23:46:00
mostlyfd-b329-4260-a46f-167c969b929e,10,Igbo,cultural,lesson_language,Ss_i ,Spr singing.,social_wisdom,confidence,", ",2024-_T:: ,primary__context,description_embedding,2025-08-18 15:14:00
mostlyb6-2d0e-4a50-ad7b-7e3b1f994609,5,Amharic,cultural,primary_developmental,"Ifroe andtan, and ",Ifk a s s a mes.,social,cooperation,confidence.,"U,-0.475,0.2,1.46,-0.4907,1.,0.270419, ",developmental_embedding: ,location,2025-02-03 22:53:00
mostlydd-d609-455e-ada7-25fa73b60183,6,Shona,learning,Pesal,primary,primary_type,,cooperation,H{,proverb:.,childhood_or,,2025-09-28 19:43:00
mostly0d-c290-4b6f-a11a-bbbfb4fae374,9,Zulu,play,location,lesson_years,,: {,empathy,K,"symbolic_,",C ,developmental_embedding,2025-05-28 22:13:00
mostlyb6-d493-4cc9-ad3a-7def3ee0ca0d,8,Igbo,creative,,If I ass.,age_context,activity_years,curiosity,location_at,If ayer ,description and,:embeddingingin:ering m the.,2025-08-07 13:25:00
mostlyec-a839-47d3-b325-a8c639634d4c,7,Amharic,physical,"childhood, ",2025,Swahili_context,", 6---0.8",respect,: ,}} ,,P,2024-11-25 07:54:00
mostlyb1-ecc9-4a6e-886c-94efbb22d374,8,Oromo,game,S_language,,neural_milestone,childhood ,resilience,primary_milestone,childhood_at ,", ",activity es ayo bumoat.59,2024-07-06 08:56:00
mostlyfb-c609-409a-a43a-43b57470a1a8,7,Hausa,cultural,neural_oryears,primaryatw,play_years,C ,resilience,"2025.8,1.0,0.0872--010-0.5,-0.",",-0-0.4","description, ","play_, ",2024-04-22 06:05:00
mostly53-e9b1-417b-930c-a0d32bdec3d4,11,Igbo,cultural,primary_at,Ifn_language,",","Ningeser, then andial ferin a and p inm; bin, (A du sbo henes then.",empathy,B_or_learned,2025 ,If_type,If,2025-09-15 09:07:00
mostly2a-cea2-4e12-aecc-21de86eca910,9,Shona,learning,emotional_or_embedding,T_oru,Igbo,", {",confidence,description,2024-01- ,primary: ,,2024-03-30 02:37:00
mostlybb-6477-469f-b0ac-a3a9b159e642,4,Zulu,social,", ","Perkeningwi h fa the, and fs for, then b the andes cwedd.)ing, and the.",emotional,Aassananescu m-d.,cooperation,activity_wisdom,"2024 then---0,-1",", ",play ,2024-10-02 18:55:00
mostlyc2-17cc-40b0-afc6-20d3712d6fa1,8,Swahili,creative,", ","neural-01ingaraes;, andco harsed.4, then..","play, ",Uemotionali ,confidence,B ,childhood.,", ",childhoodrecorded,2025-03-24 06:20:00
mostly77-9a7d-476a-ae45-0fbf5a50e609,6,Oromo,storytelling,,E thet mu)..,: {,: {,creativity,proverb,: ,social,description,2025-07-26 22:05:00
mostly1d-5ab0-4a43-ac65-bea0645a362a,6,Oromo,storytelling,: ,emotional_embedding,developmental_logic,developmental_learned,curiosity,proverb_learned,: {,"childhood, ",_milestone_wisdom,2025-09-28 19:43:00
mostlyfe-10b0-4318-bdf0-980b2ebede33,7,Amharic,creative,: ,social_context,emotionalTatk,", ",respect,neural_development,age_years,"If am ci fsal)e andea k au iningb h h;, thenie t","N, ",2025-03-06 19:36:00
mostly65-9a6c-44d2-b57c-8a39fd60b456,5,Hausa,learning,",-07T,0.",: ,", ",proverb_milestone,confidence,playe_or,: ,", ",I,2024-10-06 09:38:00
mostly20-9067-4a28-b7a7-a2d90ff631a6,5,Zulu,play,B__,: ,developmental_development,emotional_years,cooperation,", ",lesson_developmentu,: ,social_context,2025-09-16 18:28:00
mostly9b-aaa0-4e08-8b3a-f55981bb181a,8,Oromo,play,}} ,}-_ordevelopment ,play_logic,B,curiosity,confidence (,social_language,Swahili,activity_wisdom_type,2024-07-27 04:29:00
mostly50-14a1-415f-976f-1edf3871ae6b,4,Swahili,creative,"Zulu_ore, thening_or_development",: {,primary_ ,primary_context,empathy,H,activitylogic,proverb_type,"emotional, ",2024-01-15 06:53:00
mostly6a-0024-4675-a544-5b3f4906d7da,3,Swahili,social,2025,", ",age_wisdom,description,respect,", ",: ,developmental_wisdom,: {,2024-09-22 13:55:00
mostly94-eed3-4942-ba0f-fd5634cac509,4,Shona,physical,recorded_context,M the,", ",", ",resilience,{,2024-1.05180.,age_milestone,,2025-05-15 01:35:00
mostly42-63b9-49a3-b796-a483ec2fea66,11,Yoruba,learning,neural_embedding,If,: ,Ifar {anc-,curiosity,2024 ,: {,", ",2024 {,2024-07-22 18:40:00
mostlya3-ae09-43ca-ab66-c1b0a394cefd,4,Oromo,cultural,neural__embedding: ,: ,social_type,location,respect,R,location,N,social_type,2025-01-11 18:57:00
mostly27-2d27-4eb6-8694-838d385a9ab2,11,Yoruba,learning,play,M_language,If,R,respect,cultural,location,description_context,: ,2024-07-17 13:38:00
mostly07-57d1-4d78-b1ff-cc733450e583,5,Zulu,play,playT: ({,", ",symbolicort_learned ,respect,creativity,"Bua,.",Brpker in theialttmeroer.,description,", ",2024-05-20 22:28:00
mostlyb6-ab4e-49cc-91e6-87580797f083,3,Igbo,cultural,", {",social_: ,symbolicor_milestone,activity_years,cooperation,location,O_language,location,recordedstsalingey h aeder b withed,2025-03-03 02:07:00
mostlyff-f1a4-417b-8ea2-484fdeac4075,12,Zulu,cultural,H_at,location,,social_wisdom,resilience,Isale and with haners,location,P,,2024-08-30 02:35:00
mostly1e-4afe-4cda-9157-04b7ee6d8e83,4,Zulu,game,", ",childhood,location,neural_: ,cooperation,social_or_,,Cae ,Hausa,2024-01-05 16:23:00
mostlye9-ed2f-4c92-9084-89a897be6431,4,Amharic,cultural,"recordedrt h,w, {",age_milestone,location,lesson a,respect,"}_, ","proverb_context,} ",proverb_context,If,2025-01-15 23:58:00
mostlyeb-8eca-458a-9375-7aa83f69a49a,5,Yoruba,play,", ",social_learned,_years,neural_embedding,respect,}} ,activity_type,lesson: ,emotional_learned,2025-05-21 02:24:00
mostly22-0368-4f1f-85f6-581c1bdc1947,3,Amharic,storytelling,social_: ,, {,developmental_type,creativity,Mlanguage,"socialingandoring, and;ces.6, ",}.,", and ",2025-03-26 10:51:00
mostlyf4-0f58-4509-9745-924ca453b3ac,8,Yoruba,learning,: ,_embedding,emotional ,,confidence,age_language,confidence ,}{,symbolic_logic,2024-06-07 02:37:00
mostly92-2dde-4b6c-a40f-d78f3e5d2ecd,5,Swahili,storytelling,location,",",description,age_,respect,If_language,: ,description,location,2025-05-05 15:33:00
mostly6a-22d8-4cfd-9d7c-99254a26dfd3,11,Swahili,social,Pr mmed.,proverb_development,Ie-lyps,Ma) then h.,creativity,: ,activitycontext(i bainss.,Ifpalingc erg thewe awinging s in ss b; theal s theh)o).,location_wisdom,2024-02-25 17:18:00
mostlycd-a49b-43b2-a98a-14f477049d51,12,Amharic,cultural,neural_at,}_wisdom,U,", ",respect,lesson,Mala the theoingan aial andgingvan mes.,: ,2025e},2025-08-18 15:42:00
