id,primary_language,cultural_element,description,meaning_or_purpose,historical_context,modern_relevance,transmission_method,region,symbolic_representation,wisdom_encoded,neural_embedding,recorded_at
mostly44-fa03-4c08-b692-33c5829b9efa,Shona,music,meaning_at,festival,D-speaking ,moderneing c and c p cod,"Yoruba,-speaking regionst",recorded_method, ,G in and:,"regionmethod anddedoal, and and.",2025-04-30 04:50:00
mostly0c-56fa-4b3b-920e-22f7a4a56988,Hausa,folklore,neural_representation,historical Africa,culture,"-21.9.4836,0.380248,-000,0.","modern_embedding-0.082,.-6-0.5,0.1438,0..1115,00,-1.",",--_method",modern: ,modern ,} ,2025-03-29 14:29:00
mostlyaa-ce56-4a6f-917a-25b13c649975,Hausa,craft,"Orall pleing, ",neuralrelevance{,wisdom_en,S,M_atk,: ,dance-_or,modern,"neural Africa-1.153, ",2024-01-25 12:09:00
mostly0e-17c8-45af-ab66-79a4ea643790,Amharic,folklore,Zulu-speakinging ins andiue socialg,M_method,cultural_or,: ,: ,historical_language,meaning_relevance,"S31...146,0.1,0023}723,0.48,-0.7245,-0.",Amharic,2024-07-15 07:50:00
mostly97-47a9-4254-9bbe-ef653c6bdc03,Hausa,proverb,"recorded, , ",",-encoded6es, regions.",meaning_,description,"symbolictransmission to as inmdaic through,in lts.","historical_, ",S,culture,To: ,2024-01-13 14:57:00
mostly0a-7263-456a-838c-de1bdddd0b43,Igbo,folklore,neural_embedding,description,: ,B_element,meaningor_representation,transmission_method,: ,", ",primary,2025-04-26 20:04:00
mostlyc9-228b-4031-b5c9-26cef4aac92a,Hausa,music,Planguage,primary,Pay,Mingincing,description,: ,E,modern_encoded,}_-03,2024-11-05 15:29:00
mostlyc5-b7d5-4af7-a945-6458fe10d696,Yoruba,folklore,Yoruba,recorded_context,,In..,: ,Igbo,M_embedding,",",Ghistorical,2024-08-03 23:27:00
mostlycc-cdd4-4439-8d3c-c9d5bb60d752,Yoruba,craft,", {",Toor.8,"2025-T5esT,-0.-1019,0.1611}, ",neural in andi,C,: {,,2025,", {",2024-01-04 15:57:00
mostly75-c143-42e8-b9d8-3e133e4db300,Zulu,proverb,meaning_embedding,To,To and and of.,Amharic00 of.,primary_representation,culture.,modern_embedding,", and h,,.3109,0.3636,--0.126-0.13",Amharic ,2024-04-22 13:46:00
mostlyec-c32c-41f0-8f7e-577192161acd,Zulu,craft,-,neural_purpose_element,2025-0.,: ,festival,transmission_embedding,symbolic,"moderning Africauy andc,",D_language,2024-04-14 15:34:00
mostly3b-d9bf-4fdd-aa40-6c2d0a4d2932,Amharic,craft,In_ ,modern_at,"historical and, in schools, ",S,region,cultured in aersuyerity inec.,recorded_relevance,recorded_primary,modern_or_element,2024-11-05 04:57:00
mostly03-bf5e-4d4a-9fcd-c8da308876b0,Yoruba,ceremony,- ,"Espeaking, ",", ","-0.571436,42",neural_representation,neural_language,: ,"Yoruba-speaking,-31923,10.8568,-0.141887-0.9128,:9.{0503,0.384,119,-0.4519,-0.0707,56,1.",To_encoded,2025-05-01 01:27:00
mostlyd2-5d55-462b-a2df-90b5978290c5,Igbo,dance,modern_context,"Igboalsd,y withareingalals.",description,description,festival ,Precordeding,neural ,East_relevance,_relevance,2025-08-17 06:47:00
mostly1e-b5f4-4e34-bdec-b0ab10760740,Swahili,festival,historical_},: ,primary,Zulu0 f., ,symboliccontext,"-0,-0.66,11,0.533,-0.3,0..173",culture,modern_,2024-05-25 22:51:00
mostly42-099b-47c7-89e3-5e7631849b72,Shona,craft,description,Oralo and ping sley and communalfal thets.,neural_embedding,modern_at,wisdom_a,,We.,,recorded_method,2024-09-27 02:15:00
mostlycf-a307-43cb-adc5-aa9bc374bb42,Hausa,ceremony,", ",", ","culturekpoak and communalo cg of.eesedi p._d, c",neural_relevance,,recorded_at,Yorubaey,: ,M_or,2024-08-01 06:05:00
mostly4a-3b05-4b0d-b7e2-1d6b894effde,Yoruba,ceremony,"--.-0.26419,-1-07127,0.19-0.41.,1.","To, y"," {-speaking.19, and community.","-0.673,-0.665904,0.59818,-0T20005.",meaning Africa.,Amharic_element,2025_: ,wisdom,primary_encoded,2024-01-08 03:42:00
mostly9c-5986-46cb-a300-7653525e87fc,Igbo,festival,"P, ",historical_language,2025an.,"To, ande",} ,: ,: and,primary_element Africa,wisdome,2025-09-20 19:39:00
mostly0a-68bc-4366-8ca7-8fa79122a0f4,Igbo,craft,historical_embedding,transmission:00,"P-0.899,-0..,-19,077",T_representation,", ",: ,_ ,wisdom,region,2025-02-04 22:26:00
mostlyda-e05d-4a0c-bed8-6dec69ae2552,Yoruba,ceremony,Oromo {,,,cultural_elementing,wisdom_element -1.2.5,", ",transmission,2024 ,2024_recorded_embedding{,2025-05-01 13:43:00
mostly7b-cb0f-478f-9baa-d8fcd6906cbe,Yoruba,proverb,"2024-.38,0.05000.3175",wisdom_language,2024-0.,meaning_purpose,-0 and.,Orales,primary,}neural_element,recorded_a,2024-05-20 20:45:00
mostly0d-e886-4ac2-aaa5-e47550c9002e,Igbo,proverb,Seinal ss.,A,", ",modern_at,Shona,A {,culturalT,: ,meaning_element,2024-10-25 07:59:00
mostly19-d1d8-4574-8575-ac7956c09da4,Hausa,proverb,R ,A,"In, ",: ,wisdom,cultural_context,_language,,: ,2024-03-10 12:05:00
mostly90-3f1d-401c-a122-d5189d2950c4,Yoruba,dance,"-speaking,-",", ",",- ",culture,primary_embedding,"E-0.502,0418.200T2,0.7,-0.17.2,-20.71289:,-004915,-1..38,-0.773,_-0,80.43 and00.2500,-13 and3,04",transmission_embedding,"A with andg family wd a, anda.3.",primary,2024-08-19 20:57:00
mostlyba-e8cb-4f2c-b763-2b52b77412fa,Zulu,ceremony,"2024-03transmission-1: and family05,0.801,1.0101T28,-06,0.25602,,0.0012,-1.5,0.03,0T.1836,-127,104.07,-0.6","Shona-,-0.3403040.0.27-18,02,111.95912,",Igbo,region,Oral andt.,W,: ,cultural_relevance,description,2024-04-05 22:34:00
mostly68-850f-44db-846d-54a0aa96a00e,Hausa,craft,modern_purpose,modern_encoded,2025,Oralin_elementing,} ,: ,cultural_or,2025_language,"Sal,0.",2025-08-21 18:48:00
