id,subject,subject_type,predicate,object,object_type,context,primary_language,relationship_strength,temporal_aspect,symbolic_representation,neural_embedding,recorded_at
mostly98-5f41-48a5-947f-813313387148,,place,predicate,predicate,cultural_element,A,Swahili,moderate,historical,predicate,predicate,2025-09-29 17:32:00
mostly25-3f2a-4d83-b853-522cfccd3fe2,strong,object,S_representation,"2024orsubject,o and ",concept,temporalsubject,Yoruba,strong,historical,}} {,}_aspect,2025-06-21 22:15:00
mostly67-4e2b-41fb-ab03-3c2ec460dd5f,:00,person,"Igbo_,--1.5-0.30,.4245T,0.764,0.301,-0..18756,0.2301,-0.06,-11.46150, ",object,concept,2025_strength,Igbo,moderate,historical,object,object ,2024-02-06 21:06:00
mostlycb-97d9-4dad-a9a7-a92bedb1817f,Yoruba ,organization,subjectu ,historical,concept,} {,Yoruba,strong,historical,place_ic,2025,2025-06-08 06:48:00
mostly14-258e-4fe5-a88e-40152af4dc8e,Yoruba ,concept,historical,subject_type,concept,object,Yoruba,moderate,timeless,place,object,2025-07-10 00:46:00
mostlyc6-0a30-4dd5-b170-1782bde35bd9,}} {,place,subject,A,concept,G y,Zulu,strong,historical,knowledge_aspect-107 : te,object_representation,2024-11-17 04:10:00
mostly01-2d19-4955-b581-7920e0c13c9f,timeless,place,", ",subject_type,place,temporal_type,Oromo,moderate,historical,object,subject,2024-08-14 04:36:00
mostly45-33d5-46b9-a1c5-557649872840,predicate,organization,moderate,", ",concept,neural_00,Zulu,strong,timeless,primary_embedding,: ,2025-05-07 05:00:00
mostlyeb-27cf-4fc2-8a48-c3defda52040,recordedr_aspect,concept,current,object,concept,", ",Shona,moderate,historical,: ,Ks { ,2024-12-07 20:08:00
mostly46-8ddb-4103-9efa-6fff1189ea30,Southicanpor,organization,S,primary,event,neural00p,Hausa,strong,historical,temporal,temporal0,2024-08-27 16:40:00
mostly7c-f7d8-4cbc-90f5-b1e2b6ccb35e,: ,concept,S} ,object,place,Srlanguage,Amharic,moderate,historical,Aatv,subject_type,2024-06-23 16:09:00
mostlyf1-e567-4f57-8788-6d96e467852b,: a,event,"place.08, ",neural_language,concept,"2025-006_,",Hausa,strong,historical,object,-1-_aspect:,2024-04-05 10:14:00
mostly63-f854-4396-8597-d4612745a39b,- {,organization,", ",strong,concept,N,Shona,moderate,historical,"M-0.0157}36,",object,2024-06-19 12:24:00
mostlyde-c74a-4b0a-ac7c-1ac3037b37c1,temporal_type,person,-1:00:00,",.5 ",organization,knowledge_language,Amharic,weak,current,historical,context,2025-09-29 17:32:00
mostly44-8c24-4f59-97e8-3bca437af704,temporalk,place,: ,primary_ri,place,culturala chyvsoninan,Amharic,weak,historical,symbolic_representation,: ,2024-06-09 16:35:00
mostlyc1-1a82-42bc-8e43-fab24f93f3ef,} {ece ,person,Amharic,subject,place,relationship_type,Amharic,moderate,historical,-,: ,2024-11-05 17:58:00
mostly5d-13e6-446d-ac5c-a8ec08b2b9a8,Yoruba,cultural_element,subject,moderateed,event,place,Swahili,strong,current,context,object,2025-09-29 17:32:00
mostly1e-251f-415e-a40c-7928d67a9790,: ,person,objectri,", {",concept, ing ,Yoruba,strong,historical,",1",symbolic,2024-09-04 07:55:00
mostlydb-87e9-4536-a505-da114fc66fb7,", ",person,"2025onat.23, ",", ",organization,predicate_type,Zulu,moderate,historical,symbolic_language,relationship :,2024-03-04 05:57:00
