id,ethical_domain,primary_language,scenario_type,description,stakeholders,ethical_tension,cultural_framework,resolution,principle_demonstrated,location,symbolic_logic,wisdom_teaching,neural_embedding,recorded_at
mostly3c-7c35-455f-b6da-201ff6226943,community,Oromo,modern_ethics,cultural,recorded_,I,: ,symbolic_ ,} ,,: ,", ",: ,2024-07-25 12:34:00
mostlyf1-834b-44a9-82c6-3e878337ba4c,justice,Shona,modern_ethics,W,Is,intergenerational,ethical_: ,primary_tension,M_language,Oromo,ethical_tensionembedding,: ,principle_framework,2024-02-20 10:55:00
mostlyf6-dda2-47e7-8691-a923de9d87f1,justice,Yoruba,traditional_justice,stakeholders,: ,_framework,},", ",neural_framework,"empathy-01.29,0.636",empathy,: ,principle_,2024-03-10 02:28:00
mostlya7-7a8d-459b-b739-170dd702d654,empathy,Shona,intergenerational,"Mc wasarọonoojh, ",primary_demonstrated,location,neural and: ,traditional{,I_demonstrated,wisdom_type,: ,: , ,2024-03-29 12:16:00
mostly50-4927-4500-a08c-b109d7506d2d,empathy,Zulu,conflict_resolution,"2025ana,-0.,,0.,-0.4201,0.91,250.61,123,0.3",2025- ,cultural_embedding,: ,primary_framework,",_tension",neuraliy i,scenario ,"Km,-.3",}_,2024-04-20 17:09:00
mostly60-998b-444d-8bbe-affde91f39d7,justice,Amharic,modern_ethics,neural_logic_domain: ,O--,: ,C_framework,Uar,recorded_logical,"N_,",description,"symbolic, ","description-a yah, ",2024-02-29 17:34:00
mostly93-3e73-4a62-a84b-9deacf012dd6,fairness,Yoruba,traditional_justice,", ",,H,scenarior,N,Oromo,ethics,ethical_teachingk_tension,stakeholders,principleembedding_ na,2024-08-02 06:31:00
mostly24-7dca-446d-9ff1-e496be599c02,respect,Yoruba,intergenerational,wisdom_at,I_teaching,ethical_type,stakeholders,", ",empathy,cultural_at,2024-ethics:-,"symbolicethical_domain,",2024,2025-06-13 16:18:00
mostly07-d898-40e1-b4f3-e16b8af9dfdd,ubuntu,Swahili,intergenerational,neural_teaching,primary_type,neural_type,ethics,ethical_type,M_,-,"-0.27,20,-1.16.4,,-0.7,-0.495,0.74,0.088,0.384,1",,empathy_demonstrated,2025-03-23 04:55:00
mostly43-9b2e-4d37-be24-28dd2e823a90,integrity,Hausa,community_decision,"resolutionar yaale, g ",recorded,community,scenario_teaching,stakeholders,", ",description_at,M_at,description,: ,2024-01-13 15:42:00
mostly81-c2ad-4f22-83a4-782bafc529c5,responsibility,Igbo,intergenerational,primary_demonstrated,scenario_embedding,principle ,symbolic_ ,ethics,ethics,ethical_at,ethics_language,ethics,"principledemonstrated yaewaanm,-1id.o_1, ",2024-09-23 05:04:00
mostly9b-cade-4caf-8e1f-4bb0b1702f4f,ubuntu,Amharic,modern_ethics,: ,"E1 aen ku,a","Oromo.82,1:,-040207: ",recorded_language,}an.269i wa a,symbolic_logic,scenarioframework,"Hmvt yaamgak m n,",ethical_tension,principle_tension1,2025-05-02 12:22:00
mostlyb2-5072-46fd-b81d-d2dc2010db1b,empathy,Zulu,conflict_resolution,resolution,ethical {,Ku,} ,description ,description,", ",ethics,", ",A_1,2024-11-03 19:35:00
mostly69-246b-404a-9b9f-ec3965daffbd,community,Swahili,traditional_justice,principle__framework,: {,", ",symbolic_,U,: ,} arbkak,"justicean n, nas,a kus na uwa,0.37 yaoen",stakeholders,,2024-11-09 12:38:00
mostly38-b69c-42f3-83ba-dffe83786293,integrity,Amharic,modern_ethics,"2025,m ak, ndị-1.054, ",stakeholders-06{,,2024,integrity_logic,,principle_tensiona,ethics,"2024,-0",location: ,2024-09-02 15:10:00
mostly77-ec64-438f-a6b0-0c49c0a9c685,community,Oromo,intergenerational,"-.16.7,-1.0.6-16",description: ,location,2024,Elun ,primary_demonstrated,ethical_: , ,cultural_logic,scenario_,2025-01-27 12:25:00
mostly10-23a5-4db3-bad6-a9401850e80d,empathy,Amharic,community_decision,{,2025 {,justice ,", ",symbolic_tension,location,resolution,,primary_embedding,: ,2024-01-23 17:15:00
mostly4e-b067-432a-8674-e1c2dea81177,empathy,Yoruba,community_decision,,respect-at,: ,,stakeholders ,wisdom_-1.14027,E_tension,,: ,},2024-09-24 18:05:00
mostlycf-0bc1-4e37-814e-2a990e14f103,fairness,Hausa,moral_dilemma,principle_resolution,"Moa,- vc, ndị",principle ,: ,: ,ethical_embedding,O_atana,:,2024anT: ,modernm,2025-09-25 10:59:00
mostly97-71ea-4bbf-bc51-008bc358dfd9,fairness,Swahili,conflict_resolution,Ma na s,location,_,resolution,_type,cultural_teachingat,primary{_domain,ethical_demonstrated,description ,} ,2025-08-07 20:09:00
mostlya4-7da9-4647-b83a-bf00a6e7873d,integrity,Igbo,traditional_justice,symbolic__demonstrated,K_,: ,ubuntu,", ",: ,", ","ethicsTuanuyaan, or",: ,", .",2024-07-28 05:01:00
mostlyc1-ebbb-401a-8e2f-b4a164c79cd4,ubuntu,Shona,traditional_justice,wisdom,stakeholders-,2024_type,integrity,stakeholders,integrity--,justiceg,stakeholders,description,"neural-.261616,--1.309,-0.",2025-05-23 19:25:00
mostly90-e95e-4003-baf0-3b88706aff3f,integrity,Igbo,conflict_resolution,description,: ,A {,intergenerational,"stakeholders,scenario",T_at,,: ,recorded_teaching,: {,2024-08-05 10:55:00
mostly19-1d4b-4e1a-b4ca-3244dce36dee,ubuntu,Swahili,intergenerational,",-1.2430_ ,-05031.13,14,--",Tbe,"K-091.069,4700892,-",",",resolution,stakeholders_tension,principle--_logic,: ,scenario_tension,ethics: ,2024-04-27 06:22:00
mostlydf-edba-4f6b-84fa-2abee3d1f498,empathy,Amharic,moral_dilemma,"2025, ",N,Kneural: {,neural_logic,", ",scenario_language:,empathy,empathy00o,: ,scenario,2024-04-17 10:46:00
mostly22-e08f-4064-a419-5acee6944bf7,integrity,Yoruba,traditional_justice,scenario_embedding,{,ubuntu mak, ,", a ",: ,symbolicrecorded ,primary_demonstrated,cultural_at,ubuntu,2025-06-25 22:03:00
mostly1a-16a6-4580-82c5-a2f56d09db4e,ubuntu,Amharic,modern_ethics,description.,resolution,stakeholders,", ",Ndị-T06 ,: ,"I,-",primary_logic,ethical_language,,2024-06-09 22:29:00
mostly1b-00b9-4b78-bfe4-79df3474cd88,justice,Amharic,modern_ethics,wisdom_at,"scenario_embedding, ",: ,U,ethics,neural_teaching,"neuralframeworkin,0.35",ethics,,recorded_,2024-10-08 12:17:00
mostly46-e9ae-4882-b804-cdf9b711088f,ubuntu,Igbo,moral_dilemma,location,description,,community {,recorded_embedding,ethical,,ethics,Hat,"resolution--09:08,0.307010,10.12415,90.74,--1-.1401423",2024-08-19 10:13:00
mostly22-0fe6-4be7-bfdf-5e3e6de16746,integrity,Shona,modern_ethics,ethics_,symbolic_embedding,"neural,",}an,description_i,", ",{_domain,neural_at,wisdom,symbolic_logic,2025-08-03 08:40:00
mostly82-52ba-47e4-bf56-261c9faeb9ca,respect,Yoruba,modern_ethics,modern_atf: ,S,", {",stakeholders,"-0.9285190.0..267, ",: ,principle_at-,neural_typeat,M,ubuntu_dilemma,2024-12-11 02:36:00
mostly3c-7da5-463b-871c-db4de32ee8ce,ubuntu,Shona,traditional_justice,N,: ,ethics,traditional_teaching,: {,resolution,",-,-13T,-1.19,0.3..7,0.960.795,",primary_embedding,symbolic_domain,U,2024-03-24 20:33:00
mostly3e-2597-4668-acae-4315a41bd788,ubuntu,Oromo,modern_ethics,A,E_logic ,neural_,Con i-0.38055-222.0.,,"}, ","-._03, ",_at,location,"neural-,-0.51215.,003,-02-0.191",2024-06-09 01:20:00
mostly18-fdf9-465a-8d2d-11923a3a9de7,justice,Yoruba,moral_dilemma,K,: at,U ,ethical_type,"M.726 ya, ",} {,,community ,"0domain.818,-1", ,2025-01-11 12:56:00
mostlyea-a43a-4b01-bcfa-9323751afcb0,responsibility,Amharic,intergenerational,Ccet wayt,stakeholders ,wisdom_recorded,U,2024_tension{,: ,recorded_embedding,communityonk.inum yataal,: ,primary_,2024-10-15 19:32:00
mostly19-dc30-48f0-9321-8071e716b666,community,Oromo,community_decision,,cultural_type,K,ethical_logic,N,wisdom_teaching,neural_at,wisdom_language,} {,}} ,2025-09-25 10:59:00
mostlye4-1a1d-4a57-876f-342d12bf3bf5,justice,Oromo,community_decision,description,: ,symbolic,principle,location,description,S,wisdom,: ,"2024}-0.28,-0.80.03,10:0..87.,1.92,0.2280.126,1.,-0.170817,0.,.",2024-03-16 17:28:00
mostlyf0-70e0-47ad-8e4b-f37849f9c8f4,community,Shona,modern_ethics,primary_,resolution,principle_domainat,Oromou,", ",S_at,,W ,I,recorded,2024-03-09 02:46:00
mostlye2-a8b0-4af8-a5c1-ef26963e5393,empathy,Amharic,moral_dilemma,wisdom,: ,recorded__type,resolution,} ,neural,wisdom_embedding,,M,: ,2024-05-30 15:11:00
mostly3a-708b-4905-ad15-e5d5252ee307,community,Oromo,intergenerational,principle{,resolution,"principle_ya,}",cultural_ ,}_.8,stakeholders,", ","principlecwa_, ",neural,N,2025-06-11 20:46:00
mostly05-b6ef-4fe5-984e-54e52c56cda8,responsibility,Shona,traditional_justice,: ,2024-.013606,primary malen-,"{, ",: ,recorded{,location,A,2024_demonstrated,,2024-01-13 02:18:00
mostly30-05c8-416d-8068-fdaef97994d4,respect,Zulu,modern_ethics,A_teaching,2024 {,stakeholders,principle_logic,"O-..16, {",ethical_domain,",at",recorded_teaching,K_language,description,2024-03-20 23:55:00
mostlyb7-6fdd-455c-ae47-68aa85abb1af,justice,Swahili,traditional_justice,"Hb, _ natype",N,intergenerational,scenario_,ethics,M,wisdom,,location{,"0.4.48,0.18,1.4.92,6, ",2024-11-17 09:21:00
mostlyfc-13fd-48c9-b810-79b43ac5458e,justice,Oromo,modern_ethics,,ethical_at,"2024-408,0.0134726,-0.28,0284819-6,0.TT,,-.817,-0-10.26,0.1.19150.1412, ",,C_ ,} ,: ,ethical_embedding- ,ethics,ethics,2024-01-27 06:34:00
mostlyf9-3ce7-4608-8849-49fdaea52687,ubuntu,Swahili,community_decision,C ,T: ,resolution,scenario_at na-ene,respect,ethical__embeddingi,"description1,0...29100",traditional  ው,recorded_framework,neurald_.,2024-09-18 16:26:00
mostly99-2203-4d94-8a4e-d57f700fcebb,ubuntu,Igbo,community_decision,Gon mn ,ethics,A ,modernl.9fe ,primary_embedding,"} 0.26, Nigeria,,0.926",: ,2024cultural,principle,scenario_tension ya,2024-08-08 00:19:00
mostly17-3989-484f-91c8-c823a0b05382,empathy,Shona,conflict_resolution,primary_domain,"Is.u.de,0.828819T,-1.148.725061,-0.36,-1.891_,., ",community_ naar,: ,,cultural_,Ke,", ",ubuntu00, stakeholders,2025-01-30 16:59:00
mostly33-452c-4ba6-bca6-b61c21169e5d,ubuntu,Yoruba,traditional_justice,stakeholders,", {","stakeholders, ",wisdom_demonstrated,: ,principle:}} ,"resolutionon.a,0.","A--T-_1.01.272,0.8096,-,143",:,descriptional andatar ku m a and,2025-02-15 03:31:00
mostly5f-42ad-439a-8076-3d7505b0a457,community,Shona,modern_ethics,description,"{_-10----17.717Tethical07,-1.27,-0.43-191T27",,"Ni0,.00",}_,stakeholders,wisdomlanguage,neural_logic,Ku ay,H,2024-07-09 04:40:00
mostly41-e186-42d4-bcf2-35fd10ce00b8,justice,Amharic,traditional_justice,"ethical,-0.3,-0713,1.66,0.49, ","community, ",scenario, {,} {,"K}nom, o b",}} ,scenario,"location,","2024-0.27, ",2025-01-12 03:01:00
mostlyae-c58f-4710-9a1f-8da1c4b93cfc,empathy,Oromo,moral_dilemma,}}} ,A,N ,: ,"-1.18363,-0.5,-",2024_,stakeholderss,empathy: ,: ,Ni ,2024-01-12 04:47:00
mostly84-fd2c-4cad-a4b2-b50c03e89c2a,community,Yoruba,traditional_justice,wisdom_teaching,ethical_demonstrated,description,: ,primary} ,: ,primary ,description,",-01.22,19.8,-.622170.3,2,-0.76,0.95,0.2391314,,1.94,-0.6,0.59.,0.1535,--0.8",ethical_logic,2024-11-25 04:01:00
mostly3d-a7ae-4277-81f5-ad86f3c57046,respect,Oromo,intergenerational,principle_logic,},"scenario,00_-",,"20241.4126061.01.7090,1.159216-,--0.4902, m,00..9.79",ubuntu,"traditional1,0.-2921715,13:,0.39",ethical_language,scenario:,", ",2024-09-01 01:30:00
mostlye7-4ea3-4cbb-acfb-620e869d5355,ubuntu,Shona,moral_dilemma,Cdemonstrated,symbolic: ,neuraltension,: ,resolution,ethical_domain,primary,ethical_logic,location-,}} ,2024-11-27 02:18:00
mostlybb-e132-441a-b6f9-5d08e0b7d8df,ubuntu,Shona,community_decision,location: ,ethics,neural_dilemma,S,recorded: ,: ,description,"A0.07T, ",},,2025-03-21 15:10:00
mostlyd4-c147-4097-ab01-b19be5c51ce4,justice,Zulu,modern_ethics,-_Ttension,: ,",i-0.34,0..06,-1.404-6-0.1.7},, ","20241ọ.13-,-202139.51.2619,,.3,082, ",symbolicdemonstrated,2024_tension,ethical_framework,: ,description_typetype,stakeholders,2025-07-19 11:50:00
mostlybc-804b-47d5-92c0-be11149377d4,ubuntu,Yoruba,intergenerational,respect,", {",ethical_at,neural_Ttension,"Ku ya i,oa mj",ethical_ ya,location,principle_domain,symbolic_language,"symbolic, ",2024-09-06 17:10:00
mostlyef-5abf-4a1d-b458-84ad550d525f,fairness,Amharic,community_decision,"I,analgb na","ubuntu-0.517,-0.5,-0.5,0.717,.65,01.6.27,0.-7.426,-0.1423,0.27,0.8,0.048149,28T28131,-1.,0.05284,0.583,0..,1.808, ,-0_031l15, ",",_embedding",ethical_teaching,", ",ethics,"Clhtdwawa, v",K ,wisdom_teaching,"Uov_logic m, waj",2025-04-15 10:08:00
mostly3a-8e91-4542-9af6-35e14092f075,ubuntu,Amharic,community_decision,description,neural_tension,cultural_at,ethical_logic,ethics,cultural_type,description,: ,respect,scenario ,2025-05-17 11:06:00
mostly71-3ebf-4816-b211-e40a6ae4af76,empathy,Igbo,modern_ethics,H,integrity_embedding,"cultural-0_logiclogic0.08,.593,0482,0-.51",ethical_language,recorded_typeat,H,wisdom_teaching,O,ethical,: ,2025-09-25 10:59:00
mostly28-98dd-4a8b-a13a-96797c9eac2b,fairness,Swahili,conflict_resolution,traditional,Ndị,A,neural_logic,", ",", ",M_justice,recorded_,,description,2025-04-19 13:46:00
