id,age_months,primary_language,experience_type,description,caregiver_interaction,words_or_sounds,emotional_tone,location,symbolic_logic,cultural_significance,neural_embedding,recorded_at
mostly3a-3273-477d-a9cd-8eea4607349f,10,Shona,auditory,,words_tone,Caregiver,comforted,"20240.9,-0.7 29-30619.,1.23,1: ",C” ,description,-06,2025-06-05 10:26:00
mostly7f-15ad-4332-80da-b451e07b11b2,0,Swahili,auditory,description,: ,neural_logic,calm,caregiver_at,"If0.812,-0.107,T11.7838,0.8T8,-0.5,40.",emotional,Swahili,2025-05-01 21:37:00
mostly37-8837-447d-af83-0580c1888c66,11,Zulu,motor,", ",If ,", ",joyful,: ,: {,auditory,playful_sounds,2024-02-11 06:14:00
mostlyc5-1bed-4dd9-89c1-649a7cb09cb5,14,Oromo,language,,T ,: ,secure,", ",", ",location ,location,2025-09-23 21:56:00
mostly53-5c26-4641-8e09-495e88ac7c7c,20,Yoruba,visual,age_soundssignificance,caregiver,cultural_interaction,joyful,"recorded, ",If,location,C,2024-10-14 00:39:00
mostly95-9650-4d22-82ce-8b95d7f8ff8a,4,Hausa,motor,emotionalemotional: ,recorded_embedding,cultural: “{_,secure,location,Caregiver ba”alp td daf piningi” man.,},culturalor_,2025-08-12 14:18:00
mostlyb3-e06f-4fc1-a28e-adadf89c6619,1,Igbo,smell,_significance,If: ,emotional_or,secure,Ahesof.,S,If_sounds,}: ,2024-09-19 16:29:00
mostly06-47a1-448e-8807-3e0b64cb3570,24,Zulu,smell,} ,symbolic_or ,experienceemotional_or: {,playful,cultural,E,If,,2024-12-28 07:29:00
mostlyc0-6dd0-443c-91eb-343045bd18c4,7,Shona,tactile,", ",neural_embedding,recorded_soundsmonths,secure,: ,"Ifo t,0 ","If”.18, ",neural_logic,2024-10-03 17:22:00
mostly6c-3dfa-4728-bee0-a782207e63a6,18,Swahili,taste,S,playful00,T  andc.,calm,: ,Ked”s ineas”.,auditory,"}-1.823,0.6-137-13,-0.24,0.27,-1.1-,-0.-0:}5302, then0.6282,2T.7.46,-1.,-0.05,0.9, ",2025-01-15 22:56:00
mostly7f-82e9-4d7f-bd66-669e2ee48d79,16,Swahili,language,infancy,words ,}_type,secure,neural_embedding,agelogic:,cultural,neural_interaction,2024-01-01 22:20:00
mostly3c-4d35-4ecb-8474-327f101df97c,11,Hausa,auditory,location,“omesing pti and ,",embedding",curious,If{,", ",A,neural_sounds,2024-01-12 18:28:00
mostlyc0-e812-40fe-bf9f-0e606743c12d,14,Zulu,social,location,emotional_months,infancy,secure,"A, ",}-7 ,}_at,2025,2024-09-15 12:16:00
