created_at,executor_id,from_id,processed_at,rel_type,to_id
,,256,,BELONGS_TO,372
,,257,,BELONGS_TO,372
,,258,,BELONGS_TO,372
,,259,,BELONGS_TO,372
,,260,,BELONGS_TO,372
,,261,,BELONGS_TO,372
,,262,,BELONGS_TO,372
,,263,,BELONGS_TO,372
,,264,,BELONGS_TO,372
,,265,,BELONGS_TO,372
,,266,,BELONGS_TO,372
,,267,,BELONGS_TO,372
,,268,,BELONGS_TO,372
,,269,,BELONGS_TO,372
,,270,,BELONGS_TO,372
,,271,,BELONGS_TO,372
,,272,,BELONGS_TO,372
,,273,,BELONGS_TO,372
,,274,,BELONGS_TO,372
,,275,,BELONGS_TO,372
,,276,,BELONGS_TO,372
,,277,,BELONGS_TO,372
,,278,,BELONGS_TO,372
,,279,,BELONGS_TO,372
,,280,,BELONGS_TO,372
,,281,,BELONGS_TO,372
,,282,,BELONGS_TO,372
,,311,,BELONGS_TO,370
,,312,,BELONGS_TO,370
,,313,,BELONGS_TO,370
,,314,,BELONGS_TO,370
,,315,,BELONGS_TO,370
,,316,,BELONGS_TO,370
,,317,,BELONGS_TO,370
,,318,,BELONGS_TO,370
,,319,,BELONGS_TO,370
,,320,,BELONGS_TO,370
,,321,,BELONGS_TO,370
,,322,,BELONGS_TO,370
,,323,,BELONGS_TO,370
,,324,,BELONGS_TO,370
,,325,,BELONGS_TO,370
,,326,,BELONGS_TO,370
,,327,,BELONGS_TO,370
,,328,,BELONGS_TO,370
,,329,,BELONGS_TO,370
,,330,,BELONGS_TO,370
,,331,,BELONGS_TO,370
,,332,,BELONGS_TO,370
,,333,,BELONGS_TO,370
,,334,,BELONGS_TO,370
,,335,,BELONGS_TO,370
,,336,,BELONGS_TO,370
,,337,,BELONGS_TO,370
,,338,,BELONGS_TO,370
,,0,,BELONGS_TO,371
,,1,,BELONGS_TO,371
,,2,,BELONGS_TO,371
,,3,,BELONGS_TO,371
,,4,,BELONGS_TO,371
,,5,,BELONGS_TO,371
,,6,,BELONGS_TO,371
,,7,,BELONGS_TO,371
,,8,,BELONGS_TO,371
,,9,,BELONGS_TO,371
,,10,,BELONGS_TO,371
,,11,,BELONGS_TO,371
,,12,,BELONGS_TO,371
,,13,,BELONGS_TO,371
,,14,,BELONGS_TO,371
,,15,,BELONGS_TO,371
,,16,,BELONGS_TO,371
,,17,,BELONGS_TO,371
,,18,,BELONGS_TO,371
,,19,,BELONGS_TO,371
,,20,,BELONGS_TO,371
,,21,,BELONGS_TO,371
,,22,,BELONGS_TO,371
,,23,,BELONGS_TO,371
,,24,,BELONGS_TO,371
,,25,,BELONGS_TO,371
,,26,,BELONGS_TO,371
,,27,,BELONGS_TO,371
,,28,,BELONGS_TO,371
,,29,,BELONGS_TO,371
,,30,,BELONGS_TO,371
,,31,,BELONGS_TO,371
,,32,,BELONGS_TO,371
,,33,,BELONGS_TO,371
,,34,,BELONGS_TO,371
,,35,,BELONGS_TO,371
,,36,,BELONGS_TO,371
,,37,,BELONGS_TO,371
,,38,,BELONGS_TO,371
,,39,,BELONGS_TO,371
,,40,,BELONGS_TO,371
,,41,,BELONGS_TO,371
,,42,,BELONGS_TO,371
,,43,,BELONGS_TO,371
,,44,,BELONGS_TO,371
,,45,,BELONGS_TO,371
,,46,,BELONGS_TO,371
,,47,,BELONGS_TO,371
,,48,,BELONGS_TO,371
,,49,,BELONGS_TO,371
,,50,,BELONGS_TO,371
,,51,,BELONGS_TO,371
,,52,,BELONGS_TO,371
,,53,,BELONGS_TO,371
,,54,,BELONGS_TO,371
,,55,,BELONGS_TO,371
,,56,,BELONGS_TO,371
,,57,,BELONGS_TO,371
,,58,,BELONGS_TO,371
,,59,,BELONGS_TO,371
,,60,,BELONGS_TO,371
,,61,,BELONGS_TO,371
,,62,,BELONGS_TO,371
,,63,,BELONGS_TO,371
,,64,,BELONGS_TO,371
,,65,,BELONGS_TO,371
,,66,,BELONGS_TO,371
,,67,,BELONGS_TO,371
,,68,,BELONGS_TO,371
,,69,,BELONGS_TO,371
,,70,,BELONGS_TO,371
,,71,,BELONGS_TO,371
,,72,,BELONGS_TO,371
,,73,,BELONGS_TO,371
,,74,,BELONGS_TO,371
,,75,,BELONGS_TO,371
,,76,,BELONGS_TO,371
,,77,,BELONGS_TO,371
,,78,,BELONGS_TO,371
,,79,,BELONGS_TO,371
,,80,,BELONGS_TO,371
,,81,,BELONGS_TO,371
,,82,,BELONGS_TO,371
,,83,,BELONGS_TO,371
,,84,,BELONGS_TO,371
,,85,,BELONGS_TO,371
,,86,,BELONGS_TO,371
,,87,,BELONGS_TO,371
,,88,,BELONGS_TO,371
,,89,,BELONGS_TO,371
,,90,,BELONGS_TO,371
,,91,,BELONGS_TO,371
,,92,,BELONGS_TO,371
,,93,,BELONGS_TO,371
,,94,,BELONGS_TO,371
,,95,,BELONGS_TO,371
,,96,,BELONGS_TO,371
,,97,,BELONGS_TO,371
,,98,,BELONGS_TO,371
,,99,,BELONGS_TO,371
,,100,,BELONGS_TO,371
,,101,,BELONGS_TO,371
,,102,,BELONGS_TO,371
,,103,,BELONGS_TO,371
,,104,,BELONGS_TO,371
,,105,,BELONGS_TO,371
,,106,,BELONGS_TO,371
,,107,,BELONGS_TO,371
,,108,,BELONGS_TO,371
,,109,,BELONGS_TO,371
,,110,,BELONGS_TO,371
,,111,,BELONGS_TO,371
,,112,,BELONGS_TO,371
,,113,,BELONGS_TO,371
,,114,,BELONGS_TO,371
,,115,,BELONGS_TO,371
,,116,,BELONGS_TO,371
,,117,,BELONGS_TO,371
,,118,,BELONGS_TO,371
,,119,,BELONGS_TO,371
,,120,,BELONGS_TO,371
,,121,,BELONGS_TO,371
,,122,,BELONGS_TO,371
,,123,,BELONGS_TO,371
,,124,,BELONGS_TO,371
,,125,,BELONGS_TO,371
,,126,,BELONGS_TO,371
,,127,,BELONGS_TO,371
,,128,,BELONGS_TO,371
,,129,,BELONGS_TO,371
,,130,,BELONGS_TO,371
,,131,,BELONGS_TO,371
,,132,,BELONGS_TO,371
,,133,,BELONGS_TO,371
,,134,,BELONGS_TO,371
,,135,,BELONGS_TO,371
,,136,,BELONGS_TO,371
,,137,,BELONGS_TO,371
,,138,,BELONGS_TO,371
,,139,,BELONGS_TO,371
,,140,,BELONGS_TO,371
,,141,,BELONGS_TO,371
,,142,,BELONGS_TO,371
,,143,,BELONGS_TO,371
,,144,,BELONGS_TO,371
,,145,,BELONGS_TO,371
,,146,,BELONGS_TO,371
,,147,,BELONGS_TO,371
,,148,,BELONGS_TO,371
,,149,,BELONGS_TO,371
,,150,,BELONGS_TO,371
,,151,,BELONGS_TO,371
,,152,,BELONGS_TO,371
,,153,,BELONGS_TO,371
,,154,,BELONGS_TO,371
,,155,,BELONGS_TO,371
,,156,,BELONGS_TO,371
,,157,,BELONGS_TO,371
,,158,,BELONGS_TO,371
,,159,,BELONGS_TO,371
,,160,,BELONGS_TO,371
,,161,,BELONGS_TO,371
,,162,,BELONGS_TO,371
,,163,,BELONGS_TO,371
,,164,,BELONGS_TO,371
,,165,,BELONGS_TO,371
,,166,,BELONGS_TO,371
,,167,,BELONGS_TO,371
,,168,,BELONGS_TO,371
,,169,,BELONGS_TO,371
,,170,,BELONGS_TO,371
,,171,,BELONGS_TO,371
,,172,,BELONGS_TO,371
,,173,,BELONGS_TO,371
,,174,,BELONGS_TO,371
,,175,,BELONGS_TO,371
,,176,,BELONGS_TO,371
,,177,,BELONGS_TO,371
,,178,,BELONGS_TO,371
,,179,,BELONGS_TO,371
,,180,,BELONGS_TO,371
,,181,,BELONGS_TO,371
,,182,,BELONGS_TO,371
,,183,,BELONGS_TO,371
,,184,,BELONGS_TO,371
,,185,,BELONGS_TO,371
,,186,,BELONGS_TO,371
,,187,,BELONGS_TO,371
,,188,,BELONGS_TO,371
,,189,,BELONGS_TO,371
,,190,,BELONGS_TO,371
,,191,,BELONGS_TO,371
,,192,,BELONGS_TO,371
,,193,,BELONGS_TO,371
,,194,,BELONGS_TO,371
,,195,,BELONGS_TO,371
,,196,,BELONGS_TO,371
,,197,,BELONGS_TO,371
,,198,,BELONGS_TO,371
,,199,,BELONGS_TO,371
,,200,,BELONGS_TO,371
,,201,,BELONGS_TO,371
,,202,,BELONGS_TO,371
,,203,,BELONGS_TO,371
,,204,,BELONGS_TO,371
,,205,,BELONGS_TO,371
,,206,,BELONGS_TO,371
,,207,,BELONGS_TO,371
,,208,,BELONGS_TO,371
,,209,,BELONGS_TO,371
,,210,,BELONGS_TO,371
,,211,,BELONGS_TO,371
,,212,,BELONGS_TO,371
,,213,,BELONGS_TO,371
,,214,,BELONGS_TO,371
,,215,,BELONGS_TO,371
,,216,,BELONGS_TO,371
,,217,,BELONGS_TO,371
,,218,,BELONGS_TO,371
,,219,,BELONGS_TO,371
,,220,,BELONGS_TO,371
,,221,,BELONGS_TO,371
,,222,,BELONGS_TO,371
,,223,,BELONGS_TO,371
,,224,,BELONGS_TO,371
,,225,,BELONGS_TO,371
,,226,,BELONGS_TO,371
,,227,,BELONGS_TO,371
,,228,,BELONGS_TO,371
,,229,,BELONGS_TO,371
,,230,,BELONGS_TO,371
,,231,,BELONGS_TO,371
,,232,,BELONGS_TO,371
,,233,,BELONGS_TO,371
,,234,,BELONGS_TO,371
,,235,,BELONGS_TO,371
,,236,,BELONGS_TO,371
,,237,,BELONGS_TO,371
,,238,,BELONGS_TO,371
,,239,,BELONGS_TO,371
,,240,,BELONGS_TO,371
,,241,,BELONGS_TO,371
,,242,,BELONGS_TO,371
,,243,,BELONGS_TO,371
,,244,,BELONGS_TO,371
,,245,,BELONGS_TO,371
,,246,,BELONGS_TO,371
,,247,,BELONGS_TO,371
,,248,,BELONGS_TO,371
,,249,,BELONGS_TO,371
,,250,,BELONGS_TO,371
,,251,,BELONGS_TO,371
,,252,,BELONGS_TO,371
,,253,,BELONGS_TO,371
,,254,,BELONGS_TO,371
,,255,,BELONGS_TO,371
,,0,,PRECEDES,1
,,1,,PRECEDES,2
,,2,,PRECEDES,3
,,3,,PRECEDES,4
,,4,,PRECEDES,5
,,5,,PRECEDES,6
,,6,,PRECEDES,7
,,7,,PRECEDES,8
,,8,,PRECEDES,9
,,9,,PRECEDES,10
,,10,,PRECEDES,11
,,11,,PRECEDES,12
,,12,,PRECEDES,13
,,13,,PRECEDES,14
,,14,,PRECEDES,15
,,15,,PRECEDES,16
,,16,,PRECEDES,17
,,17,,PRECEDES,18
,,18,,PRECEDES,19
,,19,,PRECEDES,20
,,20,,PRECEDES,21
,,21,,PRECEDES,22
,,22,,PRECEDES,23
,,23,,PRECEDES,24
,,24,,PRECEDES,25
,,25,,PRECEDES,26
,,26,,PRECEDES,27
,,27,,PRECEDES,28
,,28,,PRECEDES,29
,,29,,PRECEDES,30
,,30,,PRECEDES,31
,,31,,PRECEDES,32
,,32,,PRECEDES,33
,,33,,PRECEDES,34
,,34,,PRECEDES,35
,,35,,PRECEDES,36
,,36,,PRECEDES,37
,,37,,PRECEDES,38
,,38,,PRECEDES,39
