age_years,description,id,labels,location,primary_language,recorded_at,symbolic_logic
13,scenario_language,mostly56-dce4-4487-960c-46c0f56af6cf,Adolescence:KnowledgeDomain,", ",Shona,2024-01-27 22:39:00,", "
16,"A, in myi with; a to int the malg ",mostlyda-3d15-457d-b5fb-e2cf1ac9e387,Adolescence:KnowledgeDomain,S_eltensiona.,Hausa,2024-04-28 23:30:00,: 
17,scenario_type,mostlye9-bef7-4bdd-bd20-e4fe34619ce3,Adolescence:KnowledgeDomain,He,Zulu,2024-03-17 05:23:00,scenario_type
18,age__type,mostlyc6-2bc2-426c-a30a-81ba4e622829,Adolescence:KnowledgeDomain,Sheo in the in a school.,Hausa,2024-04-24 17:35:00,: 
15,primary,mostly67-441e-4f71-8879-235b61aeac82,Adolescence:KnowledgeDomain,",-0.4,1.,1.,-0.269,0.2,0.459,0.1637925",Swahili,2024-06-19 03:14:00,peeryears
18,ethical,mostly08-a682-4242-9c0d-f344decbe0d8,Adolescence:KnowledgeDomain, {,Igbo,2024-07-18 01:21:00,
14,Au in cting fores the d.,mostly63-e140-47d7-895e-73560a4f477b,Adolescence:KnowledgeDomain,primary_tension,Hausa,2025-02-25 09:18:00,emotional_
14,_at,mostly5d-8e53-4ce0-a31f-a816f9c3a80f,Adolescence:KnowledgeDomain,} ,Igbo,2024-10-23 23:18:00,reasoning_process
16,{,mostlye1-73e5-4eee-93f6-79d6730d60d8,Adolescence:KnowledgeDomain,wisdom,Zulu,2024-03-19 08:03:00,"2024, "
13,,mostly27-ed2f-4b29-b072-11ccc5988723,Adolescence:KnowledgeDomain,", ",Swahili,2025-02-20 20:23:00,She0.047.
18,"P, ",mostlye6-de91-4875-a05d-b557890c2dc9,Adolescence:KnowledgeDomain,peer_0embedding,Amharic,2024-12-06 04:23:00,cultural
14,adolescence,mostlya4-c75f-4602-9d30-32ca6a8341dc,Adolescence:KnowledgeDomain,", ",Igbo,2024-11-23 03:09:00,neuralgrowth
16,neural,mostly2c-876b-45d9-8cd9-2c52f389f27b,Adolescence:KnowledgeDomain,: ,Hausa,2024-11-22 15:40:00,", "
16,,mostlyc2-2c0a-4ca6-bb02-f6d48ec66434,Adolescence:KnowledgeDomain,outcome,Amharic,2024-06-12 07:15:00,"2024-,-030.62,026, {"
17,", ",mostlyc8-2e71-41b1-b452-3466697bcefa,Adolescence:KnowledgeDomain,,Shona,2024-03-07 21:58:00,", "
14,{,mostly71-78a7-4973-8412-6af10ae2b6f8,Adolescence:KnowledgeDomain,", ",Hausa,2025-06-12 16:19:00,}: {
14,E,mostlyc4-caf9-4445-9408-a36169c2a61d,Adolescence:KnowledgeDomain,"If, ",Hausa,2024-03-02 16:18:00,reasoning 
13,He_age,mostly11-abad-4127-91c6-dab98535c06a,Adolescence:KnowledgeDomain,:00outcome,Oromo,2024-03-21 23:14:00,emotionale 
17,If ,mostly63-6300-4435-a927-7da58552ebcd,Adolescence:KnowledgeDomain,peer_dynamics,Shona,2025-01-22 14:16:00,Hemcedeaesi.
17,neural_logic,mostly44-34b4-48a3-95f9-66ea0c6750fe,Adolescence:KnowledgeDomain,M_logic,Zulu,2024-04-26 20:09:00,primary_type
13,"EAates b a; lert theesar, aitalarr l.",mostlydd-f0ef-4c5d-9470-d6492419801d,Adolescence:KnowledgeDomain,A to to in,Shona,2025-01-18 01:38:00,primary_at
17,", ",mostly09-2dad-4dcf-a47c-711a8c106099,Adolescence:KnowledgeDomain,neural_embeddingate,Hausa,2024-05-10 13:26:00,ethical
16,scenario_gained,mostly73-45e3-4bec-9e2d-02492ad2f705,Adolescence:KnowledgeDomain,}.,Swahili,2024-05-20 13:16:00,Hausa
17,", ",mostly0d-58cf-4e0d-b2d6-47c12815ee53,Adolescence:KnowledgeDomain,}at} a inatesre.,Oromo,2024-10-15 11:45:00,"He00.08,-.0267,-T1,70.8,040.7,, "
13,S_,mostly50-595b-4118-9ff6-338fe71cbd0c,Adolescence:KnowledgeDomain,", ",Oromo,2024-03-24 15:30:00,: 
17,,mostlyeb-caba-4eb0-aebe-0eb3d9341291,Adolescence:KnowledgeDomain,: ,Shona,2024-05-15 23:32:00,"}He1it,1at; in: "
16,In,mostlyfd-0497-48e9-9092-11e7214e8f49,Adolescence:KnowledgeDomain,C_type,Swahili,2025-06-23 11:14:00,recorded 
13,{,mostlyef-cf6c-47c7-b64b-d84761c87a55,Adolescence:KnowledgeDomain,wisdom_process,Hausa,2025-06-05 14:04:00,outcome_
18,", ",mostly42-3670-4ca9-a601-6e2ace1848f0,Adolescence:KnowledgeDomain,_yearslanguage,Amharic,2025-03-15 02:28:00,emotional_process.
13,"0.4548,-,0.8,,0.05",mostlyd8-7088-41fb-995b-30a94bfd8439,Adolescence:KnowledgeDomain,A.,Oromo,2025-05-02 09:38:00,2025
15,wisdom_,mostly8f-06ac-4e25-ac31-92fe518c9fcd,Adolescence:KnowledgeDomain,independence,Yoruba,2025-09-30 21:39:00,"2024-0317-0.63,-0.4923,-. -4924,0.0.2716477,,0."
18,", ",mostly37-dab2-453a-84f9-192a51569275,Adolescence:KnowledgeDomain,Heeesal.,Zulu,2025-08-11 17:57:00,adolescence 
17,"age,_growth",mostly9e-6189-4b70-8bfe-84785f3f8a29,Adolescence:KnowledgeDomain,2025{,Zulu,2025-01-14 05:08:00,He: 
18,Car,mostly26-06ba-414d-926e-61ce6b1ade23,Adolescence:KnowledgeDomain,"Aal maltp, ",Yoruba,2024-10-06 20:26:00,"M0.19, "
19,location,mostly83-a870-4cb7-b42e-39c59b9780cd,Adolescence:KnowledgeDomain,reasoning_gained,Shona,2024-10-12 21:28:00,primary_ 
13,",-0.",mostly41-6614-4c62-853e-b09ff083b978,Adolescence:KnowledgeDomain,", ",Igbo,2024-11-16 07:20:00,symbolic_tension
17,Some,mostly99-3bf2-4b66-827c-720c7647e1a3,Adolescence:KnowledgeDomain,: ,Shona,2025-02-28 05:36:00,neural_dynamics
18,adolescence,mostly36-7b4b-449a-9b94-4e7253930206,Adolescence:KnowledgeDomain,", ",Hausa,2025-07-03 10:40:00,If
13,recorded_at,mostlyff-7f00-45be-a5c4-d97edfb88e02,Adolescence:KnowledgeDomain,outcome,Oromo,2024-05-29 02:21:00,: 
14,", ",mostly46-0b2b-40bc-aab9-edebd981f12e,Adolescence:KnowledgeDomain,Calleers a;iit.,Zulu,2024-12-29 15:51:00,S
14,: ,mostly11-00c8-4888-8f3a-70d337767f75,Adolescence:KnowledgeDomain,Ao andekingor and h.,Shona,2025-09-30 21:39:00,symbolic_at
19,: {,mostly4e-e567-4b4e-ad23-366791a10996,Adolescence:KnowledgeDomain,", ",Hausa,2024-04-13 18:05:00,recorded__dynamics
15,,mostly78-ebde-4795-943e-d33c880e1d5c,Adolescence:KnowledgeDomain,scenario{,Zulu,2024-03-07 12:34:00,emotional_growth
19,", ",mostly7f-125b-4cc1-b2ed-4cfa39b6aa1a,Adolescence:KnowledgeDomain,age_growth,Oromo,2024-06-09 17:08:00,location_at
17,He,mostlyf6-d607-4df8-ad59-41ced55f2f1e,Adolescence:KnowledgeDomain,}2024,Zulu,2025-06-15 01:28:00,reasoning_type
16,", ",mostlyfb-0227-4d48-925a-6fa914520e9f,Adolescence:KnowledgeDomain,", ",Hausa,2025-01-24 01:18:00,reasoning_
13,B,mostly3c-fe16-42a5-a601-5f95f6aeb667,Adolescence:KnowledgeDomain,", ",Amharic,2024-03-09 10:08:00,-0.
14,C,mostly3f-15cc-450d-8596-05a9725e3f9e,Adolescence:KnowledgeDomain,2025,Swahili,2025-02-13 05:35:00,cultural_type
14,age_years,mostly1d-344d-4499-8fcd-b40794c4add2,Adolescence:KnowledgeDomain,:00,Swahili,2025-06-30 09:34:00,20250.{
18,", ",mostlyca-9166-4af8-b3dd-a1c8726e06a1,Adolescence:KnowledgeDomain,age_type,Swahili,2024-07-18 11:16:00,scenario_tension
14,description,mostlyba-713c-48d6-a83b-88fb4f232fe0,Adolescence:KnowledgeDomain,outcome,Yoruba,2024-07-19 17:55:00,", "
18,recorded inar,mostlyd7-cbb2-4176-a5bf-744ab4057b05,Adolescence:KnowledgeDomain,reasoning_A,Amharic,2025-04-06 18:02:00,cultural{
17,"He, 16 ",mostly9c-34a4-41cd-ad8d-19c9d2f1f235,Adolescence:KnowledgeDomain,neural_gained,Swahili,2024-06-10 18:11:00,peer_growth
16,emotional_process-: {,mostlyf9-de17-42fc-bde9-10d2e8941be2,Adolescence:KnowledgeDomain,"independence_, ",Zulu,2024-11-23 02:42:00,", "
19,Shea: ,mostlyb5-41b3-4e96-8cf3-6d2bbf8b7dea,Adolescence:KnowledgeDomain,"A; –at,",Hausa,2024-09-16 21:38:00,0.9.
16,description,mostlyf4-4cb6-45cd-a0dd-36b26e3a2da4,Adolescence:KnowledgeDomain,scenario_typeat,Yoruba,2024-04-19 09:14:00,", "
18,,mostlye7-8e23-49a4-949a-4e56a0876240,Adolescence:KnowledgeDomain,Friends: ,Yoruba,2025-06-28 12:05:00,outcome
