age_years,description,id,labels,location,primary_language,recorded_at,symbolic_logic
41,2024}_logic,mostly18-8d3b-484a-a938-0fe34891d02d,KnowledgeDomain:Adulthood,Partnereders,Hausa,2025-04-06 21:48:00,location
33,: ,mostlya1-49a7-479d-b92c-29e59b8f3a76,KnowledgeDomain:Adulthood,primary_taken,Igbo,2024-01-11 00:07:00,"2024, "
28,approach__demonstrated,mostly44-708d-4c73-985e-cef094d75912,KnowledgeDomain:Adulthood,primary_,Amharic,2025-07-17 00:42:00,primary_taken
32,"2025-06:00ed1.-0,0.9669,- ",mostlyd1-9025-4d39-bba1-584b0a63b6d1,KnowledgeDomain:Adulthood,S,Igbo,2025-02-07 08:11:00,: 
52,:0.32 ,mostlyd3-2fc5-434a-96ed-ca6692ad6d8a,KnowledgeDomain:Adulthood,: ,Igbo,2025-08-12 22:16:00,approachdemonstrated 
26,", ",mostlyd9-3f03-4660-ba44-955b0e1c08dd,KnowledgeDomain:Adulthood,", ",Swahili,2024-08-09 11:00:00,adulthood
34,recorded_skill,mostlyb2-fc79-4b48-94dd-ce1a74108ca3,KnowledgeDomain:Adulthood, ,Zulu,2025-04-18 05:42:00,wisdom_: 
31,Dredoseees ai.,mostlya3-47ed-4c81-9b69-7ab11976b165,KnowledgeDomain:Adulthood,}_shared,Oromo,2024-03-02 03:36:00,recorded_language
38,expertise,mostly0e-b194-4514-b59e-4ff7519a5b23,KnowledgeDomain:Adulthood,Amharic{,Yoruba,2025-04-28 19:50:00,So: {
61,: ,mostly00-7d4d-4a35-b9eb-01ba9f448c37,KnowledgeDomain:Adulthood,: ,Oromo,2024-04-03 09:36:00,recorded_atademonstrated.
54,_demonstrated,mostlybf-8f00-43e8-b684-939b474f88f7,KnowledgeDomain:Adulthood,location,Igbo,2024-09-29 22:44:00,age_years
47,", ",mostly1d-b25d-4076-b5d4-7907b96569d9,KnowledgeDomain:Adulthood,: ,Yoruba,2025-09-14 13:37:00,", "
32,":2, ",mostlyde-704b-47bc-904b-37d660b82466,KnowledgeDomain:Adulthood,"Le,--_shared",Amharic,2025-08-30 08:53:00,H
50,symbolic: {,mostly65-1565-4e68-9298-68c93cf6e3f7,KnowledgeDomain:Adulthood,", ",Igbo,2024-01-21 11:14:00,C_taken
33,adulthood,mostly3d-7420-4667-8b41-4ae3a0a29f57,KnowledgeDomain:Adulthood,: ,Hausa,2025-03-09 03:19:00,2025_years
62,: ,mostly48-09e7-43eb-a872-4ada64ac2983,KnowledgeDomain:Adulthood,: ,Shona,2025-01-27 06:50:00,location
26,", ",mostly0d-e116-4a88-bdfd-2fe98d9d1cd9,KnowledgeDomain:Adulthood,expertise ,Hausa,2024-01-26 04:55:00,expertise_symbolic_
41,innovation,mostlye1-2b97-49af-a0f4-fa0df163b153,KnowledgeDomain:Adulthood,adulthood,Yoruba,2025-07-10 00:24:00,", "
28,leadership,mostly6c-4f68-43f1-8349-a956481d265d,KnowledgeDomain:Adulthood,: ,Shona,2025-07-13 12:46:00,age 
41,0.,mostly2d-f5ea-44c7-8594-fa1bb25ee91c,KnowledgeDomain:Adulthood,", ",Igbo,2025-04-28 12:25:00,: 
24,"neural_solvedg, ",mostly6a-1464-467c-b931-f0122e0eb3c2,KnowledgeDomain:Adulthood,F00,Hausa,2024-02-03 02:07:00,: 
65,: ,mostly66-5430-45cd-9498-f80454b23ae0,KnowledgeDomain:Adulthood,problem_logic,Yoruba,2025-04-01 23:42:00,age_solved
33,S_takenpesing0,mostly1a-59d2-48b4-a10b-f152509bce80,KnowledgeDomain:Adulthood,expertise_skill,Hausa,2024-09-08 06:06:00,: 
60,adulthood,mostly34-e132-4f56-bf99-8d58ac318647,KnowledgeDomain:Adulthood,primary_taken,Shona,2025-05-09 01:38:00,-_at
22,", ",mostlyc5-04a9-4064-90b0-4010d6f062f8,KnowledgeDomain:Adulthood,B_embedding,Amharic,2024-11-29 15:08:00,:  withat
63,_taken,mostly86-e8bc-4248-9fbf-45fc3f23be7d,KnowledgeDomain:Adulthood,problem_language,Igbo,2024-01-11 09:02:00,", "
65,: ,mostly16-4878-4199-a949-2bee97866b5f,KnowledgeDomain:Adulthood,,Zulu,2024-04-25 10:39:00,Partnered 4 with
60,: ,mostly4f-30c6-478f-9191-02c093a65c31,KnowledgeDomain:Adulthood,"MTw,",Shona,2025-03-15 10:52:00,}_neural_embedding
26,primary,mostlya2-9664-4ba3-a586-92205eca7b03,KnowledgeDomain:Adulthood,: ,Amharic,2025-04-05 16:51:00,", "
62,2024_embedding_embedding,mostly08-4eb1-4b3d-b44b-ce69452aeb02,KnowledgeDomain:Adulthood,U,Yoruba,2024-03-27 22:20:00,2024 
27,"2024, ",mostly95-6942-411d-98f7-93480229953a,KnowledgeDomain:Adulthood,,Hausa,2025-09-24 04:42:00,approach_logic
57,primary_years,mostly6d-674f-417a-8197-4a7cc0635d57,KnowledgeDomain:Adulthood,adulthood,Swahili,2025-06-17 07:50:00,wisdom
58,:.,mostly4b-c618-4387-8fae-582fa3cf3ac9,KnowledgeDomain:Adulthood,adulthood,Oromo,2025-08-04 17:58:00,domain
57,", ",mostlydb-8127-4bf7-a69f-cb015816d605,KnowledgeDomain:Adulthood,F,Oromo,2024-06-16 17:37:00,recorded_embedding
34,: ,mostly59-7adc-45df-b43f-602d42b42e47,KnowledgeDomain:Adulthood,expertise__demonstrated,Yoruba,2024-03-26 18:09:00,2024.8
41,wisdom ,mostly20-2e3f-4abe-a104-033225034329,KnowledgeDomain:Adulthood,", ",Amharic,2025-02-20 13:14:00,O leaders s
42,",-.",mostly55-b3fa-4345-888c-577bfd05d0c7,KnowledgeDomain:Adulthood,", ",Swahili,2025-08-10 09:08:00,", "
27,wisdom_years,mostly60-921c-4daf-bab4-e84165bdc2b2,KnowledgeDomain:Adulthood,}_logic,Zulu,2024-10-19 07:39:00,neural
41,problem_years,mostlye5-6c67-48d4-ab10-fefb7cafc915,KnowledgeDomain:Adulthood,location,Shona,2024-06-03 22:44:00,technology
27,primary_at,mostly46-221e-4803-9c4a-b7b7db6bb291,KnowledgeDomain:Adulthood,B ,Oromo,2025-02-17 17:43:00,A-.06.0.
33,symboliccollaboration,mostly58-65a6-49f5-a744-01fa0baf05a1,KnowledgeDomain:Adulthood,approach_embedding,Hausa,2025-02-05 03:07:00,location
