activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
learning,6,developmental0.08818 ,T-,respect,mostly6a-a50c-43e6-a13d-523c22c9ad91,Childhood:KnowledgeDomain,age_years,If,Shona,emotional_development,2024-12-22 12:19:00,: ,description
social,5,developmental__or_language,} ,cooperation,mostly00-0ab4-4a9c-939d-9c7daf5c875c,Childhood:KnowledgeDomain,R ,learning,Hausa,activity_embedding,2025-01-16 00:19:00,: ,activity
social,10,"N,- ",Swahili,cooperation,mostly49-bab5-4557-9c1a-31a1f5278218,Childhood:KnowledgeDomain,"2024-0.2528,-1.4,1.3-0.2619,-0.048-01,-.40.1939,-0.",}} {,Swahili,} ,2025-09-28 19:43:00,Ban,-_context
physical,9,If,social_at,curiosity,mostlyc4-3d03-45a3-b81b-cf4b693ce0ed,Childhood:KnowledgeDomain,} ,", ",Igbo,: ,2025-09-03 09:47:00,"P.3,0.18715,- then.03 ",Ciinge h tal;al
learning,6,", ",location,creativity,mostly2e-6282-4777-bc81-9da0d91dab42,Childhood:KnowledgeDomain,", {",social_context,Hausa,"Iforts scar)o).an5 witha,-0.456 ",2025-08-09 04:07:00,developmental_learned,Sn the
creative,10,,neural,confidence,mostly24-3602-4f7d-9ab9-bcf72f30b9f3,Childhood:KnowledgeDomain,symbolic_development,neural_2024.,Amharic,description,2025-08-17 03:14:00,", ",: 
cultural,7,{, ,respect,mostly7d-ca5d-4b97-919d-63f60e2e2fa7,Childhood:KnowledgeDomain,respect ,If you,Amharic,proverbaingaks,2024-08-26 10:06:00,age_learned,"neural.77.,0.6,0.4136,-0.0264,-0.36,687,0.7"
cultural,7,_type,childhood_development,respect,mostlyb7-d9c1-42a4-9cb0-9f07ed56c7eb,Childhood:KnowledgeDomain,M,social_at,Swahili,: ,2024-05-13 23:46:00,symbolic,description
cultural,10,lesson_language,primary__context,confidence,mostlyfd-b329-4260-a46f-167c969b929e,Childhood:KnowledgeDomain,Ss_i ,", ",Igbo,social_wisdom,2025-08-18 15:14:00,Spr singing.,2024-_T:: 
cultural,5,primary_developmental,developmental_embedding: ,cooperation,mostlyb6-2d0e-4a50-ad7b-7e3b1f994609,Childhood:KnowledgeDomain,"Ifroe andtan, and ",confidence.,Amharic,social,2025-02-03 22:53:00,Ifk a s s a mes.,"U,-0.475,0.2,1.46,-0.4907,1.,0.270419, "
