description,id,labels,language,name,primary_language,recorded_at,region
meaning_at,mostly44-fa03-4c08-b692-33c5829b9efa,KnowledgeDomain:Culture,,,Shona,2025-04-30 04:50:00,
neural_representation,mostly0c-56fa-4b3b-920e-22f7a4a56988,KnowledgeDomain:Culture,,,Hausa,2025-03-29 14:29:00,
"Orall pleing, ",mostlyaa-ce56-4a6f-917a-25b13c649975,KnowledgeDomain:Culture,,,Hausa,2024-01-25 12:09:00,
Zulu-speakinging ins andiue socialg,mostly0e-17c8-45af-ab66-79a4ea643790,KnowledgeDomain:Culture,,,Amharic,2024-07-15 07:50:00,
"recorded, , ",mostly97-47a9-4254-9bbe-ef653c6bdc03,KnowledgeDomain:Culture,,,Hausa,2024-01-13 14:57:00,
neural_embedding,mostly0a-7263-456a-838c-de1bdddd0b43,KnowledgeDomain:Culture,,,Igbo,2025-04-26 20:04:00,
Planguage,mostlyc9-228b-4031-b5c9-26cef4aac92a,KnowledgeDomain:Culture,,,Hausa,2024-11-05 15:29:00,
Yoruba,mostlyc5-b7d5-4af7-a945-6458fe10d696,KnowledgeDomain:Culture,,,Yoruba,2024-08-03 23:27:00,
", {",mostlycc-cdd4-4439-8d3c-c9d5bb60d752,KnowledgeDomain:Culture,,,Yoruba,2024-01-04 15:57:00,
meaning_embedding,mostly75-c143-42e8-b9d8-3e133e4db300,KnowledgeDomain:Culture,,,Zulu,2024-04-22 13:46:00,
-,mostlyec-c32c-41f0-8f7e-577192161acd,KnowledgeDomain:Culture,,,Zulu,2024-04-14 15:34:00,
In_ ,mostly3b-d9bf-4fdd-aa40-6c2d0a4d2932,KnowledgeDomain:Culture,,,Amharic,2024-11-05 04:57:00,
- ,mostly03-bf5e-4d4a-9fcd-c8da308876b0,KnowledgeDomain:Culture,,,Yoruba,2025-05-01 01:27:00,
modern_context,mostlyd2-5d55-462b-a2df-90b5978290c5,KnowledgeDomain:Culture,,,Igbo,2025-08-17 06:47:00,
historical_},mostly1e-b5f4-4e34-bdec-b0ab10760740,KnowledgeDomain:Culture,,,Swahili,2024-05-25 22:51:00,
description,mostly42-099b-47c7-89e3-5e7631849b72,KnowledgeDomain:Culture,,,Shona,2024-09-27 02:15:00,
", ",mostlycf-a307-43cb-adc5-aa9bc374bb42,KnowledgeDomain:Culture,,,Hausa,2024-08-01 06:05:00,
"--.-0.26419,-1-07127,0.19-0.41.,1.",mostly4a-3b05-4b0d-b7e2-1d6b894effde,KnowledgeDomain:Culture,,,Yoruba,2024-01-08 03:42:00,
"P, ",mostly9c-5986-46cb-a300-7653525e87fc,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
historical_embedding,mostly0a-68bc-4366-8ca7-8fa79122a0f4,KnowledgeDomain:Culture,,,Igbo,2025-02-04 22:26:00,
Oromo {,mostlyda-e05d-4a0c-bed8-6dec69ae2552,KnowledgeDomain:Culture,,,Yoruba,2025-05-01 13:43:00,
"2024-.38,0.05000.3175",mostly7b-cb0f-478f-9baa-d8fcd6906cbe,KnowledgeDomain:Culture,,,Yoruba,2024-05-20 20:45:00,
Seinal ss.,mostly0d-e886-4ac2-aaa5-e47550c9002e,KnowledgeDomain:Culture,,,Igbo,2024-10-25 07:59:00,
R ,mostly19-d1d8-4574-8575-ac7956c09da4,KnowledgeDomain:Culture,,,Hausa,2024-03-10 12:05:00,
"-speaking,-",mostly90-3f1d-401c-a122-d5189d2950c4,KnowledgeDomain:Culture,,,Yoruba,2024-08-19 20:57:00,
"2024-03transmission-1: and family05,0.801,1.0101T28,-06,0.25602,,0.0012,-1.5,0.03,0T.1836,-127,104.07,-0.6",mostlyba-e8cb-4f2c-b763-2b52b77412fa,KnowledgeDomain:Culture,,,Zulu,2024-04-05 22:34:00,
modern_purpose,mostly68-850f-44db-846d-54a0aa96a00e,KnowledgeDomain:Culture,,,Hausa,2025-08-21 18:48:00,
M_ {,mostly30-2810-4b47-9e83-35d6292d60fb,KnowledgeDomain:Culture,,,Hausa,2025-05-10 13:59:00,
", ",mostlyf6-756f-4f00-b9df-423fa7c39ed6,KnowledgeDomain:Culture,,,Swahili,2025-04-10 18:25:00,
}} ,mostlyfd-f60b-4ffe-b539-f3e85b8b096a,KnowledgeDomain:Culture,,,Zulu,2025-04-25 15:34:00,
