description,id,labels,location,primary_language,recorded_at,symbolic_logic
cultural,mostly3c-7c35-455f-b6da-201ff6226943,KnowledgeDomain:Ethics,,Oromo,2024-07-25 12:34:00,: 
W,mostlyf1-834b-44a9-82c6-3e878337ba4c,KnowledgeDomain:Ethics,Oromo,Shona,2024-02-20 10:55:00,ethical_tensionembedding
stakeholders,mostlyf6-dda2-47e7-8691-a923de9d87f1,KnowledgeDomain:Ethics,"empathy-01.29,0.636",Yoruba,2024-03-10 02:28:00,empathy
"Mc wasarọonoojh, ",mostlya7-7a8d-459b-b739-170dd702d654,KnowledgeDomain:Ethics,wisdom_type,Shona,2024-03-29 12:16:00,: 
"2025ana,-0.,,0.,-0.4201,0.91,250.61,123,0.3",mostly50-4927-4500-a08c-b109d7506d2d,KnowledgeDomain:Ethics,neuraliy i,Zulu,2024-04-20 17:09:00,scenario 
neural_logic_domain: ,mostly60-998b-444d-8bbe-affde91f39d7,KnowledgeDomain:Ethics,"N_,",Amharic,2024-02-29 17:34:00,description
", ",mostly93-3e73-4a62-a84b-9deacf012dd6,KnowledgeDomain:Ethics,ethics,Yoruba,2024-08-02 06:31:00,ethical_teachingk_tension
wisdom_at,mostly24-7dca-446d-9ff1-e496be599c02,KnowledgeDomain:Ethics,cultural_at,Yoruba,2025-06-13 16:18:00,2024-ethics:-
neural_teaching,mostly07-d898-40e1-b4f3-e16b8af9dfdd,KnowledgeDomain:Ethics,-,Swahili,2025-03-23 04:55:00,"-0.27,20,-1.16.4,,-0.7,-0.495,0.74,0.088,0.384,1"
"resolutionar yaale, g ",mostly43-9b2e-4d37-be24-28dd2e823a90,KnowledgeDomain:Ethics,description_at,Hausa,2024-01-13 15:42:00,M_at
primary_demonstrated,mostly81-c2ad-4f22-83a4-782bafc529c5,KnowledgeDomain:Ethics,ethical_at,Igbo,2024-09-23 05:04:00,ethics_language
: ,mostly9b-cade-4caf-8e1f-4bb0b1702f4f,KnowledgeDomain:Ethics,scenarioframework,Amharic,2025-05-02 12:22:00,"Hmvt yaamgak m n,"
resolution,mostlyb2-5072-46fd-b81d-d2dc2010db1b,KnowledgeDomain:Ethics,", ",Zulu,2024-11-03 19:35:00,ethics
principle__framework,mostly69-246b-404a-9b9f-ec3965daffbd,KnowledgeDomain:Ethics,} arbkak,Swahili,2024-11-09 12:38:00,"justicean n, nas,a kus na uwa,0.37 yaoen"
"2025,m ak, ndị-1.054, ",mostly38-b69c-42f3-83ba-dffe83786293,KnowledgeDomain:Ethics,principle_tensiona,Amharic,2024-09-02 15:10:00,ethics
"-.16.7,-1.0.6-16",mostly77-ec64-438f-a6b0-0c49c0a9c685,KnowledgeDomain:Ethics,ethical_: ,Oromo,2025-01-27 12:25:00, 
{,mostly10-23a5-4db3-bad6-a9401850e80d,KnowledgeDomain:Ethics,resolution,Amharic,2024-01-23 17:15:00,
,mostly4e-b067-432a-8674-e1c2dea81177,KnowledgeDomain:Ethics,E_tension,Yoruba,2024-09-24 18:05:00,
principle_resolution,mostlycf-0bc1-4e37-814e-2a990e14f103,KnowledgeDomain:Ethics,O_atana,Hausa,2025-09-25 10:59:00,:
Ma na s,mostly97-71ea-4bbf-bc51-008bc358dfd9,KnowledgeDomain:Ethics,primary{_domain,Swahili,2025-08-07 20:09:00,ethical_demonstrated
symbolic__demonstrated,mostlya4-7da9-4647-b83a-bf00a6e7873d,KnowledgeDomain:Ethics,", ",Igbo,2024-07-28 05:01:00,"ethicsTuanuyaan, or"
wisdom,mostlyc1-ebbb-401a-8e2f-b4a164c79cd4,KnowledgeDomain:Ethics,justiceg,Shona,2025-05-23 19:25:00,stakeholders
description,mostly90-e95e-4003-baf0-3b88706aff3f,KnowledgeDomain:Ethics,,Igbo,2024-08-05 10:55:00,: 
",-1.2430_ ,-05031.13,14,--",mostly19-1d4b-4e1a-b4ca-3244dce36dee,KnowledgeDomain:Ethics,principle--_logic,Swahili,2024-04-27 06:22:00,: 
"2025, ",mostlydf-edba-4f6b-84fa-2abee3d1f498,KnowledgeDomain:Ethics,empathy,Amharic,2024-04-17 10:46:00,empathy00o
scenario_embedding,mostly22-e08f-4064-a419-5acee6944bf7,KnowledgeDomain:Ethics,symbolicrecorded ,Yoruba,2025-06-25 22:03:00,primary_demonstrated
description.,mostly1a-16a6-4580-82c5-a2f56d09db4e,KnowledgeDomain:Ethics,"I,-",Amharic,2024-06-09 22:29:00,primary_logic
wisdom_at,mostly1b-00b9-4b78-bfe4-79df3474cd88,KnowledgeDomain:Ethics,"neuralframeworkin,0.35",Amharic,2024-10-08 12:17:00,ethics
location,mostly46-e9ae-4882-b804-cdf9b711088f,KnowledgeDomain:Ethics,,Igbo,2024-08-19 10:13:00,ethics
ethics_,mostly22-0fe6-4be7-bfdf-5e3e6de16746,KnowledgeDomain:Ethics,{_domain,Shona,2025-08-03 08:40:00,neural_at
modern_atf: ,mostly82-52ba-47e4-bf56-261c9faeb9ca,KnowledgeDomain:Ethics,principle_at-,Yoruba,2024-12-11 02:36:00,neural_typeat
N,mostly3c-7da5-463b-871c-db4de32ee8ce,KnowledgeDomain:Ethics,",-,-13T,-1.19,0.3..7,0.960.795,",Shona,2024-03-24 20:33:00,primary_embedding
A,mostly3e-2597-4668-acae-4315a41bd788,KnowledgeDomain:Ethics,"-._03, ",Oromo,2024-06-09 01:20:00,_at
K,mostly18-fdf9-465a-8d2d-11923a3a9de7,KnowledgeDomain:Ethics,,Yoruba,2025-01-11 12:56:00,community 
Ccet wayt,mostlyea-a43a-4b01-bcfa-9323751afcb0,KnowledgeDomain:Ethics,recorded_embedding,Amharic,2024-10-15 19:32:00,communityonk.inum yataal
,mostly19-dc30-48f0-9321-8071e716b666,KnowledgeDomain:Ethics,neural_at,Oromo,2025-09-25 10:59:00,wisdom_language
description,mostlye4-1a1d-4a57-876f-342d12bf3bf5,KnowledgeDomain:Ethics,S,Oromo,2024-03-16 17:28:00,wisdom
primary_,mostlyf0-70e0-47ad-8e4b-f37849f9c8f4,KnowledgeDomain:Ethics,,Shona,2024-03-09 02:46:00,W 
