audio_file,audio_path,english,frequency,id,labels,pos,speaker,syllables,tone_pattern,word
nan,nan,"central beam of a house, it runs the length of the roof",0,453,IbibioWord,noun,Mfon Udoinyang,2,[H.HL],abom
nan,nan,dust,0,454,IbibioWord,noun,Mfon Udoinyang,2,[HF],abu
nan,nan,"black, ripe, mature",0,455,IbibioWord,adjective,Mfon Udoinyang,3,[LHH],abubit
nan,nan,"a kind of yam formerly only planted by women, water yam",0,456,IbibioWord,noun,Mfon Udoinyang,3,[LLL],abịre
nan,nan,adolescent girl,0,457,IbibioWord,noun,Mfon Udoinyang,4,[LHHL],abọikpa
nan,nan,"a plank, the board for the game of draughts (checkers)",0,458,IbibioWord,noun,Mfon Udoinyang,3,[LHL],adukpọk
nan,nan,cross the fingers,0,459,IbibioWord,noun,Mfon Udoinyang,2,[LL],adọ
nan,nan,python,0,460,IbibioWord,noun,Mfon Udoinyang,3,[LHL],asabọ
nan,nan,"group, flock, herd",0,461,IbibioWord,noun,Mfon Udoinyang,2,[HH],atu
nan,nan,imitate,0,462,IbibioWord,"verb, transitive",Mfon Udoinyang,3,[LH],bọịyọ
nan,nan,sleep,0,463,IbibioWord,"verb, intransitive",Mfon Udoinyang,3,[HH],daiya
nan,nan,"dip, steep, soak",0,464,IbibioWord,"verb, transitive",Mfon Udoinyang,2,[LL],deep
nan,nan,"fierce, brave, valiant, dare, become hot, burn (of pepper)",0,465,IbibioWord,"verb, intransitive",Mfon Udoinyang,2,[LH],deghe
nan,nan,"collect, gather, pull down tendrils",0,466,IbibioWord,"verb, transitive",Mfon Udoinyang,3,[LL.H],diappa
nan,nan,"to lose, throw away",0,467,IbibioWord,"verb, transitive",Mfon Udoinyang,3,[HHH],duọọk
nan,nan,marry,0,468,IbibioWord,"verb, transitive; verb, intransitive",Mfon Udoinyang,1,[H],dọ
nan,nan,"send, send for, send to (a person or a message)",0,469,IbibioWord,"verb, transitive",Mfon Udoinyang,1,[L],dọn̄
nan,nan,an uncircumcised man or woman,0,470,IbibioWord,noun,Mfon Udoinyang,2,[LH],edʌt
nan,nan,nest,0,471,IbibioWord,noun,Mfon Udoinyang,4,[HHHL],efuọọt
nan,nan,mother,0,472,IbibioWord,noun,Mfon Udoinyang,2,[LL],eka
nan,nan,"bag, pocket; a piece of woven raffia",0,473,IbibioWord,noun,Mfon Udoinyang,2,[LL],ekpat
nan,nan,axe,0,474,IbibioWord,noun,Mfon Udoinyang,2,[LL],ekịt
nan,nan,"the liver, heart, chest, inside; mind",0,475,IbibioWord,noun,Mfon Udoinyang,2,[HF],esịt
nan,nan,"become thin, light in weight, lightened",0,476,IbibioWord,"verb, intransitive",Mfon Udoinyang,3,[HHH],feere
nan,nan,"spit, spit out (food, liquid, saliva)",0,477,IbibioWord,"verb, transitive",Mfon Udoinyang,2,[LL],fiat
nan,nan,forget,0,478,IbibioWord,"verb, transitive",Mfon Udoinyang,2,[LLH],fịre
nan,nan,bitter,0,479,IbibioWord,adjective,Mfon Udoinyang,4,[L.LH.HL],idoidot
nan,nan,spoon,0,480,IbibioWord,noun,Mfon Udoinyang,2,[LH],ikpan̄
nan,nan,"someone shorter than normal, a stunted person",0,481,IbibioWord,noun,Mfon Udoinyang,2,[LH],ikpọn
nan,nan,gonorrhea,0,482,IbibioWord,noun,Mfon Udoinyang,2,[HH],ikịm
nan,nan,a tiny fragrant leaf used to season soup,0,483,IbibioWord,noun,Mfon Udoinyang,2,[LH],ikọ
nan,nan,bird (generic term),0,484,IbibioWord,noun,Mfon Udoinyang,3,[HDH],inuen
nan,nan,"burnt, scorched",0,485,IbibioWord,adjective,Mfon Udoinyang,4,[LLHL],isaisak
nan,nan,"face, front, future",0,486,IbibioWord,noun,Mfon Udoinyang,2,[HH],iso
