activity_type,age_months,age_years,context,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,name,object,object_type,predicate,primary_language,proverb_or_wisdom,recorded_at,relationship_strength,social_context,subject,subject_type,symbolic_logic,symbolic_representation,temporal_aspect
,,,,Indigenous healing practices and herbal knowledge,,,370,KnowledgeDomain,,,Traditional Medicine,,,,,,,,,,,,,
,,,,Spiritual guidance and oracle systems,,,371,KnowledgeDomain,,,Divination Systems,,,,,,,,,,,,,
,,,,African worldviews and ethical frameworks,,,372,KnowledgeDomain,,,Philosophy,,,,,,,,,,,,,
,,,,Traditional leadership and decision-making,,,373,KnowledgeDomain,,,Governance,,,,,,,,,,,,,
,,,,Indigenous farming and land management,,,374,KnowledgeDomain,,,Agriculture,,,,,,,,,,,,,
,,,,Indigenous languages and communication,,,375,KnowledgeDomain,,,Language,,,,,,,,,,,,,
,,,,Ceremonial practices and spiritual rituals,,,376,KnowledgeDomain,,,Ritual,,,,,,,,,,,,,
,10,,,,,,mostly3a-3273-477d-a9cd-8eea4607349f,KnowledgeDomain:Infancy,,"20240.9,-0.7 29-30619.,1.23,1: ",,,,,Shona,,2025-06-05 10:26:00,,,,,C” ,,
,0,,,description,,,mostly7f-15ad-4332-80da-b451e07b11b2,KnowledgeDomain:Infancy,,caregiver_at,,,,,Swahili,,2025-05-01 21:37:00,,,,,"If0.812,-0.107,T11.7838,0.8T8,-0.5,40.",,
,11,,,", ",,,mostly37-8837-447d-af83-0580c1888c66,KnowledgeDomain:Infancy,,: ,,,,,Zulu,,2024-02-11 06:14:00,,,,,: {,,
,14,,,,,,mostlyc5-1bed-4dd9-89c1-649a7cb09cb5,KnowledgeDomain:Infancy,,", ",,,,,Oromo,,2025-09-23 21:56:00,,,,,", ",,
,20,,,age_soundssignificance,,,mostly53-5c26-4641-8e09-495e88ac7c7c,KnowledgeDomain:Infancy,,"recorded, ",,,,,Yoruba,,2024-10-14 00:39:00,,,,,If,,
,4,,,emotionalemotional: ,,,mostly95-9650-4d22-82ce-8b95d7f8ff8a,KnowledgeDomain:Infancy,,location,,,,,Hausa,,2025-08-12 14:18:00,,,,,Caregiver ba”alp td daf piningi” man.,,
,1,,,_significance,,,mostlyb3-e06f-4fc1-a28e-adadf89c6619,KnowledgeDomain:Infancy,,Ahesof.,,,,,Igbo,,2024-09-19 16:29:00,,,,,S,,
,24,,,} ,,,mostly06-47a1-448e-8807-3e0b64cb3570,KnowledgeDomain:Infancy,,cultural,,,,,Zulu,,2024-12-28 07:29:00,,,,,E,,
,7,,,", ",,,mostlyc0-6dd0-443c-91eb-343045bd18c4,KnowledgeDomain:Infancy,,: ,,,,,Shona,,2024-10-03 17:22:00,,,,,"Ifo t,0 ",,
,18,,,S,,,mostly6c-3dfa-4728-bee0-a782207e63a6,KnowledgeDomain:Infancy,,: ,,,,,Swahili,,2025-01-15 22:56:00,,,,,Ked”s ineas”.,,
,16,,,infancy,,,mostly7f-82e9-4d7f-bd66-669e2ee48d79,KnowledgeDomain:Infancy,,neural_embedding,,,,,Swahili,,2024-01-01 22:20:00,,,,,agelogic:,,
,11,,,location,,,mostly3c-4d35-4ecb-8474-327f101df97c,KnowledgeDomain:Infancy,,If{,,,,,Hausa,,2024-01-12 18:28:00,,,,,", ",,
,14,,,location,,,mostlyc0-e812-40fe-bf9f-0e606743c12d,KnowledgeDomain:Infancy,,"A, ",,,,,Zulu,,2024-09-15 12:16:00,,,,,}-7 ,,
,4,,,“caregiver_tone,,,mostly1c-e436-42b2-a3f3-2ee776c8b4c7,KnowledgeDomain:Infancy,,", ",,,,,Swahili,,2024-01-05 19:39:00,,,,,"O-1.1438,-1.227,-0.69,,190.1, then08,--0131299,0.413,”}-.0,-0.800-,1..2,0.27,0159:19,-0.T.50.08,-0.13,8,-0.8,0.149.0455,0.26,21,0.387,-850.0,0.5224,-0.-2775707,0.151,-0.9,-0.1807,0.,0.4-419-0TT",,
,24,,,caregiver_,,,mostlycf-0421-428e-8269-54a1e2c5fd81,KnowledgeDomain:Infancy,,If,,,,,Amharic,,2024-04-19 03:01:00,,,,,experience_logic,,
,4,,,: -0.,,,mostly3a-5fc9-4e37-957d-88e503311fac,KnowledgeDomain:Infancy,,words_interaction,,,,,Swahili,,2024-04-04 04:14:00,,,,,cultural_logicat,,
,13,,,_logic,,,mostly1d-1c3a-445f-9e83-914aaa7db632,KnowledgeDomain:Infancy,,secure,,,,,Zulu,,2024-05-06 08:08:00,,,,,2025o {,,
,6,,,0.,,,mostly5a-4ba8-4e96-854e-132bfa9aa5f5,KnowledgeDomain:Infancy,,joyful ,,,,,Swahili,,2025-03-18 14:17:00,,,,,}_embedding,,
,0,,,", ",,,mostly0f-17b0-456a-aa92-8aa51c04a4f4,KnowledgeDomain:Infancy,,}{,,,,,Swahili,,2025-03-15 07:40:00,,,,,", {",,
,7,,,caregiversymbolic_type,,,mostly39-7e1d-40f1-b551-f8fbeafa04b7,KnowledgeDomain:Infancy,,,,,,,Shona,,2024-04-17 04:05:00,,,,,cultural,,
,22,,,symbolic_language,,,mostlyb5-6f44-4c10-87c0-3116d3ac6bc0,KnowledgeDomain:Infancy,,", ",,,,,Hausa,,2024-01-24 12:10:00,,,,,words_type,,
