context,id,labels,object,object_type,predicate,primary_language,recorded_at,relationship_strength,subject,subject_type,symbolic_representation,temporal_aspect
A,mostly98-5f41-48a5-947f-813313387148,KnowledgeDomain:KnowledgeGraphTriple,predicate,cultural_element,predicate,Swahili,2025-09-29 17:32:00,moderate,,place,predicate,historical
temporalsubject,mostly25-3f2a-4d83-b853-522cfccd3fe2,KnowledgeDomain:KnowledgeGraphTriple,"2024orsubject,o and ",concept,S_representation,Yoruba,2025-06-21 22:15:00,strong,strong,object,}} {,historical
2025_strength,mostly67-4e2b-41fb-ab03-3c2ec460dd5f,KnowledgeDomain:KnowledgeGraphTriple,object,concept,"Igbo_,--1.5-0.30,.4245T,0.764,0.301,-0..18756,0.2301,-0.06,-11.46150, ",Igbo,2024-02-06 21:06:00,moderate,:00,person,object,historical
} {,mostlycb-97d9-4dad-a9a7-a92bedb1817f,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,subjectu ,Yoruba,2025-06-08 06:48:00,strong,Yoruba ,organization,place_ic,historical
object,mostly14-258e-4fe5-a88e-40152af4dc8e,KnowledgeDomain:KnowledgeGraphTriple,subject_type,concept,historical,Yoruba,2025-07-10 00:46:00,moderate,Yoruba ,concept,place,timeless
G y,mostlyc6-0a30-4dd5-b170-1782bde35bd9,KnowledgeDomain:KnowledgeGraphTriple,A,concept,subject,Zulu,2024-11-17 04:10:00,strong,}} {,place,knowledge_aspect-107 : te,historical
temporal_type,mostly01-2d19-4955-b581-7920e0c13c9f,KnowledgeDomain:KnowledgeGraphTriple,subject_type,place,", ",Oromo,2024-08-14 04:36:00,moderate,timeless,place,object,historical
neural_00,mostly45-33d5-46b9-a1c5-557649872840,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,moderate,Zulu,2025-05-07 05:00:00,strong,predicate,organization,primary_embedding,timeless
", ",mostlyeb-27cf-4fc2-8a48-c3defda52040,KnowledgeDomain:KnowledgeGraphTriple,object,concept,current,Shona,2024-12-07 20:08:00,moderate,recordedr_aspect,concept,: ,historical
neural00p,mostly46-8ddb-4103-9efa-6fff1189ea30,KnowledgeDomain:KnowledgeGraphTriple,primary,event,S,Hausa,2024-08-27 16:40:00,strong,Southicanpor,organization,temporal,historical
Srlanguage,mostly7c-f7d8-4cbc-90f5-b1e2b6ccb35e,KnowledgeDomain:KnowledgeGraphTriple,object,place,S} ,Amharic,2024-06-23 16:09:00,moderate,: ,concept,Aatv,historical
"2025-006_,",mostlyf1-e567-4f57-8788-6d96e467852b,KnowledgeDomain:KnowledgeGraphTriple,neural_language,concept,"place.08, ",Hausa,2024-04-05 10:14:00,strong,: a,event,object,historical
N,mostly63-f854-4396-8597-d4612745a39b,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,", ",Shona,2024-06-19 12:24:00,moderate,- {,organization,"M-0.0157}36,",historical
knowledge_language,mostlyde-c74a-4b0a-ac7c-1ac3037b37c1,KnowledgeDomain:KnowledgeGraphTriple,",.5 ",organization,-1:00:00,Amharic,2025-09-29 17:32:00,weak,temporal_type,person,historical,current
culturala chyvsoninan,mostly44-8c24-4f59-97e8-3bca437af704,KnowledgeDomain:KnowledgeGraphTriple,primary_ri,place,: ,Amharic,2024-06-09 16:35:00,weak,temporalk,place,symbolic_representation,historical
relationship_type,mostlyc1-1a82-42bc-8e43-fab24f93f3ef,KnowledgeDomain:KnowledgeGraphTriple,subject,place,Amharic,Amharic,2024-11-05 17:58:00,moderate,} {ece ,person,-,historical
place,mostly5d-13e6-446d-ac5c-a8ec08b2b9a8,KnowledgeDomain:KnowledgeGraphTriple,moderateed,event,subject,Swahili,2025-09-29 17:32:00,strong,Yoruba,cultural_element,context,current
 ing ,mostly1e-251f-415e-a40c-7928d67a9790,KnowledgeDomain:KnowledgeGraphTriple,", {",concept,objectri,Yoruba,2024-09-04 07:55:00,strong,: ,person,",1",historical
predicate_type,mostlydb-87e9-4536-a505-da114fc66fb7,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,"2025onat.23, ",Zulu,2024-03-04 05:57:00,moderate,", ",person,symbolic_language,historical
,mostlya5-163e-40a4-a9b8-c30f3b409e2e,KnowledgeDomain:KnowledgeGraphTriple,"} African oatraes{ica e, ",concept,S,Zulu,2025-06-22 23:00:00,strong,neuralembedding,person,", ",historical
neuralan,mostlyd9-13d8-4327-be6e-6740025ecf08,KnowledgeDomain:KnowledgeGraphTriple,temporal_at,concept,S,Zulu,2024-03-05 05:13:00,moderate,place,concept,Mouras,historical
person,mostly39-7ff7-4238-b54b-c5dc64bdf5ef,KnowledgeDomain:KnowledgeGraphTriple,knowledge,concept,2025,Swahili,2025-01-20 01:04:00,strong,recorded_graph,concept,2025 ,historical
}_graph,mostly8f-4b2d-4daf-8ced-e0ed942b8169,KnowledgeDomain:KnowledgeGraphTriple,"subject and-01or, ",concept,symbolic_:,Shona,2024-03-01 00:06:00,moderate,: ,place,: ,historical
