description,id,labels,location,primary_language,recorded_at,symbolic_logic
scenario,mostlyfa-9851-40fc-b184-3c835d842a35,KnowledgeDomain:RealLife,2025,Shona,2024-06-06 03:27:00,symbolic_life
"recorded wa wa wa wa, ",mostly25-6448-4f8c-b407-a8bfe1972c6a,KnowledgeDomain:RealLife,neural_embedding,Zulu,2025-09-26 02:57:00,"education0.126, "
rural,mostlyd5-04f3-43e6-b5e1-4aea2782f0df,KnowledgeDomain:RealLife,challenge_language,Shona,2025-09-03 17:21:00,primary_applied
I,mostly27-3240-426d-92a6-301d69bae244,KnowledgeDomain:RealLife,: ,Hausa,2025-09-26 02:57:00,U.
: ,mostly3d-a0cb-4ce2-906a-6a2e76b57a19,KnowledgeDomain:RealLife,symbolicdomain,Hausa,2025-06-27 23:54:00,", "
"I,1 ",mostlyb3-b10e-4d56-904a-91e1cd3e5b35,KnowledgeDomain:RealLife,recorded_embedding,Yoruba,2025-07-13 11:48:00,Ku{
neural__language,mostlyd3-ac5b-460b-85cd-fb6a8847fc28,KnowledgeDomain:RealLife,", ",Oromo,2024-01-24 18:53:00,Zulu
neural_life,mostly77-18a3-4315-89ab-b2fc1c6489b0,KnowledgeDomain:RealLife,M,Zulu,2025-09-26 02:57:00,primary
recorded,mostlyb2-9c99-4216-8b30-c1e18a18a1bb,KnowledgeDomain:RealLife,scenario_,Amharic,2025-07-16 13:47:00,2025
scenario{ ,mostly83-1f80-49df-9845-8ba6025f152f,KnowledgeDomain:RealLife,Kulocation-.,Swahili,2025-05-11 01:39:00,outcome
Ifn iinako {,mostly58-5fc1-4886-b3c6-3c2867a18887,KnowledgeDomain:RealLife,challenge_domain,Shona,2025-06-21 02:29:00,setting
,mostly37-d233-4fba-93fe-8de2175bcd4e,KnowledgeDomain:RealLife,", ",Shona,2025-04-25 00:59:00,: 
description,mostly69-b28c-425a-b9cb-fbe757ae286e,KnowledgeDomain:RealLife,real_embedding,Hausa,2025-02-15 15:14:00,:_used
2024_,mostly23-c0d8-4e31-af99-4706b327ca7f,KnowledgeDomain:RealLife,outcome,Zulu,2024-07-22 01:16:00,", "
urban,mostly4d-2b3b-4674-aace-a2cccedadef4,KnowledgeDomain:RealLife,: ,Amharic,2024-08-08 08:34:00,description
: ,mostlyf7-b0eb-4d4a-833f-85f4e31980e1,KnowledgeDomain:RealLife,resources_applied,Hausa,2024-01-06 01:28:00,Bla 
If-046waa.,mostlya2-8edb-495e-9719-aa6763e47009,KnowledgeDomain:RealLife,Zulu,Shona,2024-11-29 17:27:00,_used
"Ku--0.1561:0.,-0-50.02-04}7, ",mostlyff-2d71-4e55-a73f-a3fec2a39021,KnowledgeDomain:RealLife,: ,Zulu,2024-06-15 19:35:00,primary_used
: ,mostly53-b6a5-4896-8888-c596a5b47ddb,KnowledgeDomain:RealLife,outcome,Amharic,2025-09-05 11:15:00,outcome
Ikiwa_appliedembedding,mostlya3-424d-4788-89f7-43b684f61cbb,KnowledgeDomain:RealLife,", {",Hausa,2025-06-04 07:47:00,
