description,id,labels,location,primary_language,recorded_at,symbolic_logic
2025_or_: ,mostly4c-e87e-47ae-adc5-1be8d4fca3e5,Science:KnowledgeDomain,discipline,Amharic,2024-04-17 03:14:00,primary_statement
description,mostly0a-f84f-4514-87a1-074dc42ecf1c,Science:KnowledgeDomain,2024 ,Swahili,2025-07-11 08:09:00,methodology
science,mostlyf5-ff80-4ec2-bd20-024f3757e7f8,Science:KnowledgeDomain,", ",Yoruba,2025-09-30 18:33:00,location
"Cor_al,worlds- andpinc.",mostly74-0730-4fad-9163-90526e8418a2,Science:KnowledgeDomain,findings_or_: ,Shona,2024-03-04 21:28:00,L
neural_or{,mostlyff-e775-44b6-8960-472ba9878de7,Science:KnowledgeDomain,symbolic___type,Amharic,2025-09-30 18:33:00,problemaror
topic,mostly5b-33ae-44c5-b3b1-c616ade2c04c,Science:KnowledgeDomain,Howes,Shona,2025-07-31 20:16:00,topic
-.3914,mostlyc5-7f15-4f50-bc6b-a0a22305e5e0,Science:KnowledgeDomain,G ,Igbo,2024-08-17 16:54:00,knowledge_type
findings0,mostlyfa-49f7-49cf-899b-86d70425f0c5,Science:KnowledgeDomain,topic,Igbo,2024-06-13 09:46:00,-8_ andp-04: {
", ",mostly67-a949-4386-9bdb-b25d8eccd9b9,Science:KnowledgeDomain,topic,Hausa,2024-04-08 19:12:00,"E_statement d,1."
2024.,mostly67-10c3-49a5-833b-5fe33ad6b371,Science:KnowledgeDomain,symbolic_: ,Oromo,2024-06-08 06:28:00,: 
real_: {,mostlybb-5055-47cd-8f62-f0aaff3a58cd,Science:KnowledgeDomain,", ",Zulu,2025-02-21 02:03:00,topic
", ",mostly5c-696b-4c56-9814-b3acb91a1b8c,Science:KnowledgeDomain,:0.-3,Hausa,2025-09-30 18:33:00,Por: 
N ,mostly71-eaee-40a8-8bbe-4ea17f6f9de3,Science:KnowledgeDomain,primary_: ,Amharic,2024-09-25 03:03:00,location
"Cing with and afit,1., ",mostly68-be50-406e-8088-4dae6a612a8d,Science:KnowledgeDomain,recorded_at,Amharic,2025-01-12 06:12:00,primary_language
"How s toe,",mostlyf9-4841-4597-914b-2cca01058fb4,Science:KnowledgeDomain,} ,Hausa,2024-05-14 10:24:00,} {
problem,mostlyd1-a722-4fe8-b7c4-599b18f095f1,Science:KnowledgeDomain,symbolic_logic,Igbo,2025-09-17 15:24:00,How to andflingsing-basedoed with
"E.00,0.",mostly86-a528-4992-8093-458939cfd91d,Science:KnowledgeDomain,findings_solution,Amharic,2024-01-09 05:26:00,B
discipline,mostly77-157e-4387-ad8f-7bebba746576,Science:KnowledgeDomain,", ",Hausa,2025-05-18 02:53:00,Shona
"2024-1.-1681,-0.",mostlyd4-c2b6-4c8a-a9ee-d8bb3b74dd3f,Science:KnowledgeDomain,"G in sed, ",Igbo,2024-09-09 09:35:00,methodology
discipline,mostlye2-f134-456c-b744-31c1c5ff26ba,Science:KnowledgeDomain,methodology,Amharic,2024-10-15 19:43:00,location
topic,mostly89-b220-4749-8d4d-7f5a903fa200,Science:KnowledgeDomain,", ",Amharic,2024-01-08 04:31:00,symbolic_orlanguage
findings_logic,mostly0d-320e-4bea-82fc-f9559b81f66b,Science:KnowledgeDomain,description,Shona,2025-09-04 00:30:00,A}00
methodology,mostly52-3649-49e3-b5ee-e8c366c9bb88,Science:KnowledgeDomain,real_knowledge_type,Shona,2025-07-30 04:30:00,", "
description,mostlyf2-0d1a-4089-bbde-0ef8ab502dff,Science:KnowledgeDomain,:001.,Hausa,2024-08-14 21:36:00,neural_embedding
real ,mostly9f-e3bb-4d73-a6a6-f02af768b411,Science:KnowledgeDomain,topic,Amharic,2025-06-06 12:12:00,science
real_application,mostly38-f46b-49f1-a1de-6784a15c4a7e,Science:KnowledgeDomain,recorded1_or,Yoruba,2025-04-13 13:29:00,Elanguage
: ,mostly82-9edf-445d-9054-af446c72ae01,Science:KnowledgeDomain,: ,Amharic,2024-12-11 22:46:00,engineeringing_type
"findings_al t, .",mostly51-28a9-4f0c-8cbc-ffba70a6730f,Science:KnowledgeDomain,: ,Hausa,2025-04-20 09:14:00,-0.
} ,mostly18-3d3e-4656-b3f7-b0bfe924afd3,Science:KnowledgeDomain,",00",Amharic,2025-01-03 21:41:00,0
{,mostly56-1672-40fd-b3ab-6db1733b9c7d,Science:KnowledgeDomain,"0.-060411,0.",Amharic,2025-03-29 10:47:00,symbolic 1.
topic,mostly30-35ce-40b2-9bf7-b491d0e4c8c4,Science:KnowledgeDomain,mathematics,Yoruba,2024-10-07 04:42:00,experimentalan__at
primary_solution,mostly42-4ed3-4277-b1ce-579ff6152541,Science:KnowledgeDomain,"E, Zimbabwe-0-01.55, ",Oromo,2024-02-10 00:41:00,"neuralsp and c bit mo, inrs."
",_solution",mostly3a-26a0-4931-90e4-c4b104598e4c,Science:KnowledgeDomain,primary_knowledge_application,Oromo,2025-03-12 03:22:00,", "
: {,mostlye1-a6bc-475a-9ac3-818667f099ba,Science:KnowledgeDomain,: ,Swahili,2025-04-08 20:35:00,problem_real_application
", ",mostly4a-191e-4235-9d74-4102613bd25d,Science:KnowledgeDomain,"S_,,.",Oromo,2024-10-05 13:44:00,How
