from_id,rel_type,to_id
,MANIFESTS,mostlyb4-6993-49ae-9a88-042c7077da3c
,MANIFESTS,mostly45-0a97-4918-aeea-c3e4c2e9d9b9
,MANIFESTS,mostly0c-7a45-4892-8e2f-79a22b7c0138
,MANIFESTS,mostly95-6b16-4f04-92ca-2da5ec963844
,MANIFESTS,mostly4d-5241-4ec0-80d4-6cc8f349a72a
,MANIFESTS,mostly45-d5cb-420e-84d9-e7645ea5800d
,MANIFESTS,mostly20-b76f-4a1d-8a67-3d72a21bff7e
,MANIFESTS,mostlycf-e0f5-4c80-9675-f584f3cac769
,MANIFESTS,mostly82-df57-4702-af82-e2900862753f
,MANIFESTS,mostly43-58c7-48eb-b9e7-bce6471f9974
,MANIFESTS,mostly70-6b9f-47f4-97ba-7e16c39c4cbb
,MANIFESTS,mostlye1-dc1a-4a0e-8088-b58fe424293b
,MANIFESTS,mostly54-a0fb-43cb-8a1d-f892129cb351
,MANIFESTS,mostlybd-4f61-4ca1-9268-c61674421035
,MANIFESTS,mostlye1-30b9-4106-82e3-60661036a5fa
,MANIFESTS,mostlyeb-2629-4ddd-b091-68b53823cf84
,MANIFESTS,mostly91-b69b-4441-9c37-bc16ca0605b4
,MANIFESTS,mostlyea-e3a0-497f-93aa-cd17e96f909d
,MANIFESTS,mostly41-8853-43ea-9021-fa682dfaa5b2
,MANIFESTS,mostlyd8-f4d3-4c83-a368-aa56e8c27621
,MANIFESTS,mostly80-999f-41e2-b343-7bbfea2e262f
,MANIFESTS,mostlya2-0f3b-46a4-9ecf-41885521162b
,MANIFESTS,mostlyc1-e45b-489c-bce2-6979b5c3ed77
,MANIFESTS,mostlyc9-3333-4993-94d3-53c325aa5147
,MANIFESTS,mostlyfd-0a4a-446c-94fd-6eeca90f8194
,MANIFESTS,mostlybc-8cad-40e1-844a-3a06eeb25670
,MANIFESTS,mostlya9-725a-419d-9e6f-e5e553c70a3e
,MANIFESTS,mostly93-7b87-44ef-91ba-ae739b0f42d8
,MANIFESTS,mostly14-5d80-413a-88ac-da6450a86d2e
,MANIFESTS,mostlyfc-3dc9-4ddb-a802-a1b90646a274
,MANIFESTS,mostlyc3-da4f-4a11-b03f-ef499223cd02
,MANIFESTS,mostlycf-2d92-42a3-858a-e7ff8a8e1ff7
,MANIFESTS,mostlye1-e11a-49de-9167-050d2c2f481e
,MANIFESTS,mostly4d-7336-4ceb-ae9b-4fd2e169df0a
,MANIFESTS,mostly44-4378-4bb7-87e8-63ba9425ff0e
,MANIFESTS,mostlyb6-8308-4c6d-bdc5-4c3de612c066
,MANIFESTS,mostly97-1403-44e1-a9d7-92ac6cce074a
,MANIFESTS,mostly21-fad7-40bb-9ac8-62026b8c5930
,MANIFESTS,mostly30-aa88-4676-a45f-7d4d633d317f
,MANIFESTS,mostly43-0d70-4d38-a8fc-35818a45a8c4
,MANIFESTS,mostly23-fdf2-4670-9b00-fab9c8e7da2d
,MANIFESTS,mostly25-a6fd-436e-ae9c-518253ba1085
,MANIFESTS,mostly3c-fd64-44a1-aacb-814f449ef3e2
,MANIFESTS,mostlyc2-30f1-4d3f-8864-a89a45f4e44c
,MANIFESTS,mostly13-89ce-48b1-8401-a44dcebb1c75
