from_id,rel_type,to_id
mostly00-37d8-4fb5-ae65-32ba64c33f19,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly01-8021-4e8a-af26-8f76d80753ac,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly02-0d3e-4a0e-bf14-2d272afb23ec,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly02-45ab-4d6e-ba0a-8ff17e7f7d50,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly02-6df2-47e5-8917-21f96e55cac6,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly08-d8ee-400a-93b7-3cce161ce2bb,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly09-21f3-4e96-b31d-1f0097970de3,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0a-5ca0-4e47-bc9b-da8e9b9f60a3,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0a-d4b0-4e50-a45f-840d62e06c14,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0c-39e2-472f-8f3f-3b5b2d1eecba,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0d-4ac9-4cef-8b73-2317df86c8c3,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0d-87e7-4771-9731-a025faeaae83,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0e-2115-4b09-9d72-714bdc953b30,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly0e-e2ff-4d99-8ddb-e6d33807543c,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly10-42f7-42b6-85b8-e58b48f1e851,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly11-d034-40b4-ab62-7a10d0291b1c,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
mostly11-df17-43df-8ece-375b7c6dd0b0,SIMILAR_TO,mostlyb4-6993-49ae-9a88-042c7077da3c
