from_id,rel_type,to_id
mostlyb4-6993-49ae-9a88-042c7077da3c,SPEAKS,
mostly45-0a97-4918-aeea-c3e4c2e9d9b9,SPEAKS,
mostly0c-7a45-4892-8e2f-79a22b7c0138,SPEAKS,
mostly95-6b16-4f04-92ca-2da5ec963844,SPEAKS,
mostly4d-5241-4ec0-80d4-6cc8f349a72a,SPEAKS,
mostly45-d5cb-420e-84d9-e7645ea5800d,SPEAKS,
mostly20-b76f-4a1d-8a67-3d72a21bff7e,SPEAKS,
mostlycf-e0f5-4c80-9675-f584f3cac769,SPEAKS,
mostly82-df57-4702-af82-e2900862753f,SPEAKS,
mostly43-58c7-48eb-b9e7-bce6471f9974,SPEAKS,
mostly70-6b9f-47f4-97ba-7e16c39c4cbb,SPEAKS,
mostlye1-dc1a-4a0e-8088-b58fe424293b,SPEAKS,
mostly54-a0fb-43cb-8a1d-f892129cb351,SPEAKS,
mostlybd-4f61-4ca1-9268-c61674421035,SPEAKS,
mostlye1-30b9-4106-82e3-60661036a5fa,SPEAKS,
mostlyeb-2629-4ddd-b091-68b53823cf84,SPEAKS,
mostly91-b69b-4441-9c37-bc16ca0605b4,SPEAKS,
mostlyea-e3a0-497f-93aa-cd17e96f909d,SPEAKS,
mostly41-8853-43ea-9021-fa682dfaa5b2,SPEAKS,
mostlyd8-f4d3-4c83-a368-aa56e8c27621,SPEAKS,
mostly80-999f-41e2-b343-7bbfea2e262f,SPEAKS,
mostlya2-0f3b-46a4-9ecf-41885521162b,SPEAKS,
mostlyc1-e45b-489c-bce2-6979b5c3ed77,SPEAKS,
mostlyc9-3333-4993-94d3-53c325aa5147,SPEAKS,
mostlyfd-0a4a-446c-94fd-6eeca90f8194,SPEAKS,
mostlybc-8cad-40e1-844a-3a06eeb25670,SPEAKS,
mostlya9-725a-419d-9e6f-e5e553c70a3e,SPEAKS,
mostly93-7b87-44ef-91ba-ae739b0f42d8,SPEAKS,
mostly14-5d80-413a-88ac-da6450a86d2e,SPEAKS,
mostlyfc-3dc9-4ddb-a802-a1b90646a274,SPEAKS,
mostlyc3-da4f-4a11-b03f-ef499223cd02,SPEAKS,
mostlycf-2d92-42a3-858a-e7ff8a8e1ff7,SPEAKS,
mostlye1-e11a-49de-9167-050d2c2f481e,SPEAKS,
mostly4d-7336-4ceb-ae9b-4fd2e169df0a,SPEAKS,
mostly44-4378-4bb7-87e8-63ba9425ff0e,SPEAKS,
mostlyb6-8308-4c6d-bdc5-4c3de612c066,SPEAKS,
mostly97-1403-44e1-a9d7-92ac6cce074a,SPEAKS,
mostly21-fad7-40bb-9ac8-62026b8c5930,SPEAKS,
mostly30-aa88-4676-a45f-7d4d633d317f,SPEAKS,
mostly43-0d70-4d38-a8fc-35818a45a8c4,SPEAKS,
mostly23-fdf2-4670-9b00-fab9c8e7da2d,SPEAKS,
mostly25-a6fd-436e-ae9c-518253ba1085,SPEAKS,
mostly3c-fd64-44a1-aacb-814f449ef3e2,SPEAKS,
mostlyc2-30f1-4d3f-8864-a89a45f4e44c,SPEAKS,
mostly13-89ce-48b1-8401-a44dcebb1c75,SPEAKS,
mostly71-dfe5-4d6b-91f2-76f0cae13475,SPEAKS,
mostly1f-5d29-4c81-8876-ac42124aa89a,SPEAKS,
mostly05-7319-46dd-8566-344abd40d3a1,SPEAKS,
mostly15-2419-48f4-8423-dadbcea878e2,SPEAKS,
mostly24-dfe2-4320-823c-f94079e6883a,SPEAKS,
mostlyf3-bb5c-4ce4-b236-ea2604ae9f2f,SPEAKS,
mostlye3-036c-4b80-b2fb-bef25336a92f,SPEAKS,
mostlyf8-4b43-413e-bd48-cbd157968129,SPEAKS,
mostly58-8c74-464e-b0c5-64c227329f23,SPEAKS,
mostly2c-1e9b-4481-be9e-a7179b84f86e,SPEAKS,
mostlyf3-7c94-4cc3-a6b1-11cde10eff88,SPEAKS,
mostly79-7325-4015-8de9-86428e21f131,SPEAKS,
mostlya7-0465-4b09-bb90-448ddc0ca1cb,SPEAKS,
mostlya3-2a52-4ea0-a5d1-3b6655b5161b,SPEAKS,
mostly57-4f5b-48d9-98df-109714499f58,SPEAKS,
mostly08-edc9-4362-9194-091c11c562f1,SPEAKS,
mostly68-475a-48b9-8cdf-32acf28025dd,SPEAKS,
mostlye1-3344-480c-9c7e-ce2c3de45817,SPEAKS,
mostlya7-2e18-4bb6-a2fd-beead0d464a5,SPEAKS,
mostly57-acad-4919-9988-98d0c0e9691a,SPEAKS,
mostlyb9-2ddc-4196-bd78-025415db4fbb,SPEAKS,
mostly02-db0b-4d11-8914-7a0d8791558b,SPEAKS,
mostly55-f4f4-4126-ae43-e1a26db5676c,SPEAKS,
mostlye0-25f7-4277-b1ba-da5b3465bebd,SPEAKS,
mostly5d-d0b9-4842-a5c6-85fdb7956cb3,SPEAKS,
mostly50-ef62-4f30-959a-386660125a33,SPEAKS,
mostly24-25c9-43c7-85a6-ac91a2a009b2,SPEAKS,
mostlyc9-4d96-41b2-b3cf-4ad8289b1680,SPEAKS,
mostly5e-f6d0-49c3-a763-35a82fca9d18,SPEAKS,
mostly52-ea9d-4013-b204-dd6ea043726f,SPEAKS,
mostly92-d10e-4cfc-ac1c-c234d6531445,SPEAKS,
mostly70-9809-4f25-8d75-7fca13ee6d0c,SPEAKS,
mostly3f-9156-4a02-bfb6-9eab78b908cf,SPEAKS,
mostlyb3-6ad2-4b47-b743-85770f7cbd17,SPEAKS,
mostly8d-a683-42e2-853c-8272470ba118,SPEAKS,
mostly48-b68e-47ac-a561-9a64b7de393e,SPEAKS,
mostlyb5-86c5-40d2-b152-8ceba0894f87,SPEAKS,
mostly84-018e-4b12-a348-9f41d91db66d,SPEAKS,
mostly03-85fc-4c23-b241-0f1297f9b6d0,SPEAKS,
mostly19-a7ad-4950-a69b-f4baef33db35,SPEAKS,
mostly17-f0b5-467b-b35d-d1fcbe7e4bd5,SPEAKS,
mostlye8-61b6-4d68-8f33-dd6815203904,SPEAKS,
mostly91-9c9f-4358-bd22-710d7227ba87,SPEAKS,
mostlyb0-aa44-42ba-aa7f-ef29874c8a47,SPEAKS,
mostly6d-01a1-42b5-bcc0-d4d5fb272618,SPEAKS,
mostly1c-6e39-4beb-8678-a2d9d6c1b9a6,SPEAKS,
mostly14-1004-47f6-8c8e-1946d4c32e1e,SPEAKS,
