agent_id,name,status,capabilities,created_at,updated_at
mostlyb4-6993-49ae-9a88-042c7077da3c,_RARE_,online,"{'vision': fale,,'nnpp': tre,,,rrsoonnig:::tee,e",2024-09-05T08:05:12.000,2025-02-07T10:14:02.000
mostly45-0a97-4918-aeea-c3e4c2e9d9b9,agent_vision_01,_RARE_,"{'vision': tale,,''lpp:: rres, 'rasoiing'::rful,e",2025-03-05T08:11:47.000,2025-06-09T10:03:21.000
mostly0c-7a45-4892-8e2f-79a22b7c0138,agent_vision_01,online,"{'visio': frle,, nnl':: tree  'eaessonnn:: e,",2025-03-05T08:11:47.000,2025-06-09T10:03:21.000
mostly95-6b16-4f04-92ca-2da5ec963844,agent_nlp_core,_RARE_,"{'visin: fas, 'np': fuuse  eaononin:   ra,se",2025-03-05T08:11:47.000,2025-01-28T06:42:02.000
mostly4d-5241-4ec0-80d4-6cc8f349a72a,_RARE_,_RARE_,"{'vision': faee, nll':: tuee 'erasonin:: ra,e",2025-03-05T08:11:47.000,2025-01-07T15:12:09.000
mostly45-d5cb-420e-84d9-e7645ea5800d,agent_vision_01,_RARE_,"{'vison': fals,  'nlp::trueee''raasoonn': tre,e",2024-07-29T03:40:12.000,2025-02-19T07:54:33.000
mostly20-b76f-4a1d-8a67-3d72a21bff7e,agent_alpha,online,"{'vision': trlse, nlpp'  fuee,,rraassongn' t r,s",2024-07-29T03:40:12.000,2025-04-09T15:03:28.000
mostlycf-e0f5-4c80-9675-f584f3cac769,agent_vision_01,_RARE_,"{'vision': frlse 'nlpp': frus,,'erasniingg tl",2025-02-05T21:15:31.000,2025-06-09T10:03:21.000
mostly82-df57-4702-af82-e2900862753f,agent_vision_01,_RARE_,"{'vison': frlee 'nnp'':rau,e'r'asonign::trrae,e",2025-03-05T08:11:47.000,2025-06-05T07:42:21.000
mostly43-58c7-48eb-b9e7-bce6471f9974,_RARE_,_RARE_,"{'vision': frlee,'nl'': raes  reaeooinnn' :taes",2024-07-29T03:40:12.000,2025-06-09T10:03:21.000
